"Student Counts by School and Gender"
"All Districts, All Schools"
"2009-10"

"",,,,"Gender",,
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",192,251,443
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",183,226,409
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",173,176,349
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""","*",0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",191,195,386
"Derby School District","=""0370011""","Derby High School","=""0376111""",296,328,624
"Derby School District","=""0370011""","Irving School","=""0370411""",204,235,439
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",135,146,281
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",126,130,256
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",108,122,230
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",75,62,137
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",180,241,421
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",225,181,406
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",278,281,559
"East Hampton School District","=""0420011""","Center School","=""0420311""",154,147,301
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",287,283,570
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",258,241,499
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",301,347,648
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*",8
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",138,181,319
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",106,61,167
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",203,205,408
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",164,181,345
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",157,174,331
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",942,961,1903
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",445,460,905
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",187,189,376
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",144,196,340
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",163,192,355
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",206,205,411
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",173,161,334
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",48,69,117
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",237,225,462
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",141,144,285
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",24,160,184
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",136,101,237
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",111,115,226
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",155,189,344
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",91,106,197
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",500,468,968
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",115,118,233
"East Haven School District","=""0440011""","Hays School","=""0441911""",75,79,154
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",214,260,474
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",98,114,212
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",91,91,182
"East Haven School District","=""0440011""","Pathways","=""0449011""",9,23,32
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",124,137,261
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",617,604,1221
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",425,418,843
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",192,187,379
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",21,26,47
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",169,198,367
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",117,120,237
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",297,304,601
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",177,199,376
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",187,215,402
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",66,22,88
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",10,40,50
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",35,35,70
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",75,95,170
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",201,183,384
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",324,406,730
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",90,83,173
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",9,18,27
"Ellington School District","=""0480011""","Center School","=""0480111""",197,206,403
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",102,119,221
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",398,379,777
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",200,205,405
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",223,191,414
"Ellington School District","=""0480011""","Windermere School","=""0480611""",221,226,447
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",280,267,547
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",169,174,343
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",186,238,424
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",395,428,823
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",178,178,356
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","*","*","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",596,562,1158
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",126,132,258
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",164,207,371
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",50,54,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",190,238,428
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",425,447,872
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",129,130,259
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",207,196,403
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",149,144,293
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",303,290,593
"Explorations District","=""2720013""","Explorations","=""2726113""",51,29,80
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",209,210,419
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",168,148,316
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",42,93,135
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",759,693,1452
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",665,633,1298
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",329,343,672
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",162,173,335
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",163,189,352
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",214,237,451
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",230,248,478
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",223,255,478
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",258,293,551
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",214,252,466
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",483,483,966
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",236,238,474
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",249,243,492
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",394,379,773
"Farmington School District","=""0520011""","East Farms School","=""0520411""",203,235,438
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",18,49,67
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",654,670,1324
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",313,373,686
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",160,175,335
"Farmington School District","=""0520011""","Union School","=""0520111""",149,145,294
"Farmington School District","=""0520011""","West District School","=""0520311""",177,173,350
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",313,345,658
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",105,119,224
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",273,262,535
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",150,168,318
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",278,263,541
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",1030,1072,2102
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",271,261,532
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",260,266,526
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",258,231,489
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",317,328,645
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",568,560,1128
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",222,247,469
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",361,390,751
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",189,165,354
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",158,189,347
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",169,185,354
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",292,339,631
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",204,213,417
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",401,373,774
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",140,156,296
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",1271,1417,2688
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",207,203,410
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",178,193,371
