"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Special Education Status (SWD)"

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Special Education Status (SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,"N",187,187,100.0,187,"*","*","*","*",19,10.2,"*","*","*","*","*","*",277
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,"Y",28,28,100.0,28,"*","*","*","*",8,28.6,"*","*","*","*","*","*",225
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",10,"N",186,185,99.5,185,"*","*",6,3.2,61,33.0,"*","*","*","*","*","*",279
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",10,"Y",28,26,92.9,26,"*","*",12,46.2,6,23.1,"*","*","*","*","*","*",215
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",05,"N",54,51,94.4,51,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",290
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",05,"Y",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",05,"N",193,192,99.5,192,0,0.0,"*","*","*","*","*","*","*","*","*","*",288
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",05,"Y",20,20,100.0,20,"*","*","*","*","*","*","*","*","*","*","*","*",236
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",08,"N",194,194,100.0,194,"*","*","*","*",33,17.0,"*","*",40,20.6,"*","*",271
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",08,"Y",20,20,100.0,20,"*","*","*","*",8,40.0,"*","*",0,0.0,"*","*",224
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",10,"N",177,175,98.9,175,"*","*","*","*","*","*","*","*","*","*","*","*",285
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",10,"Y",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",05,"N",110,110,100.0,110,"*","*","*","*","*","*","*","*","*","*","*","*",235
