"CT School Day SAT, 2015-16"
"All Districts, All Subjects, Gender"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Gender","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELA","Female",126,15,11.9,24,19.0,70,55.6,17,13.5,87,69.0,524
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELA","Male",136,19,14.0,26,19.1,75,55.1,16,11.8,91,66.9,512
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Math","Female",126,20,15.9,61,48.4,38,30.2,7,5.6,45,35.7,501
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Math","Male",136,22,16.2,60,44.1,45,33.1,9,6.6,54,39.7,502
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELA","Female",150,11,7.3,29,19.3,95,63.3,15,10.0,110,73.3,524
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELA","Male",135,21,15.6,24,17.8,79,58.5,11,8.1,90,66.7,505
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Math","Female",150,"*","*",78,52.0,36,24.0,"*","*","*","*",478
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Math","Male",135,"*","*",58,43.0,44,32.6,"*","*","*","*",494
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELA","Female",100,"*","*","*","*",47,47.0,35,35.0,82,82.0,572
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELA","Male",122,"*","*","*","*",85,69.7,22,18.0,107,87.7,561
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Math","Female",100,9,9.0,39,39.0,39,39.0,13,13.0,52,52.0,533
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Math","Male",122,7,5.7,41,33.6,57,46.7,17,13.9,74,60.7,550
"Canton School District","=""0230011""","Canton High School","=""0236111""","ELA","Female",57,"*","*","*","*",38,66.7,11,19.3,49,86.0,563
"Canton School District","=""0230011""","Canton High School","=""0236111""","ELA","Male",58,"*","*","*","*",24,41.4,23,39.7,47,81.0,580
"Canton School District","=""0230011""","Canton High School","=""0236111""","Math","Female",57,"*","*",23,40.4,25,43.9,"*","*","*","*",530
"Canton School District","=""0230011""","Canton High School","=""0236111""","Math","Male",58,"*","*",12,20.7,23,39.7,"*","*","*","*",562
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","ELA","Female",6,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","ELA","Male",22,"*","*","*","*","*","*",0,0.0,"*","*",411
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Math","Female",6,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Math","Male",22,"*","*","*","*","*","*",0,0.0,"*","*",410
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","ELA","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","ELA","Male",50,"*","*","*","*","*","*","*","*","*","*",604
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Math","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Math","Male",50,"*","*","*","*","*","*","*","*","*","*",604
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELA","Female",67,"*","*",14,20.9,29,43.3,"*","*","*","*",523
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELA","Male",29,"*","*",9,31.0,8,27.6,"*","*","*","*",484
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Math","Female",67,"*","*",32,47.8,"*","*",0,0.0,"*","*",465
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Math","Male",29,"*","*",15,51.7,"*","*",0,0.0,"*","*",438
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","ELA","Female",51,"*","*","*","*","*","*","*","*","*","*",505
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","ELA","Male",8,"*","*","*","*","*","*","*","*","*","*","*"
