"District","reportingsdistrictcode","School","School Code","Count","%"
"East Granby School District",".","R. Dudley Seymour School","=""0400211""","*","*"
"Eastford School District",".","Eastford Elementary School","=""0390111""","*","*"
"Greenwich School District",".","Central Middle School","=""0575111""","*","*"
"Greenwich School District",".","Community Connections","=""0571211""","N/A","*"
"Greenwich School District",".","Cos Cob School","=""0570211""","N/A","N/A"
"Greenwich School District",".","Eastern Middle School","=""0575211""","*","*"
"Greenwich School District",".","Glenville School","=""0570411""","*","*"
"Greenwich School District",".","Greenwich Alternative High School","=""0571411""",12,31.6
"Greenwich School District",".","Greenwich High School","=""0576111""",51,2.0
"Greenwich School District",".","Hamilton Avenue School","=""0570511""","*","*"
"Greenwich School District",".","International School At Dundee","=""0571311""","N/A","N/A"
"Greenwich School District",".","Julian Curtiss School","=""0570311""",7,2.0
"Greenwich School District",".","New Lebanon School","=""0570611""","*","*"
"Greenwich School District",".","North Mianus School","=""0570711""","N/A","N/A"
"Greenwich School District",".","North Street School","=""0570811""","N/A","N/A"
"Greenwich School District",".","Old Greenwich School","=""0570911""","*","*"
"Greenwich School District",".","Parkway School","=""0571111""","N/A","N/A"
"Greenwich School District",".","Riverside School","=""0571011""","N/A","N/A"
"Greenwich School District",".","Western Middle School","=""0575311""",9,1.7
"Griswold School District",".","Griswold Alternative School","=""0580111""","*","*"
"Griswold School District",".","Griswold Elementary School","=""0580311""","*","*"
"Griswold School District",".","Griswold High School","=""0586211""",74,13.1
"Griswold School District",".","Griswold Middle School","=""0585111""",40,7.3
"Bolton School District",".","Bolton Center School","=""0120111""",14,2.8
"Bolton School District",".","Bolton High School","=""0126111""",21,6.9
"Bozrah School District",".","Fields Memorial School","=""0130111""","*","*"
"Bloomfield School District",".","Bloomfield High School","=""0116111""",126,23.9
"Bloomfield School District",".","Carmen Arace Intermediate School","=""0110711""",17,7.4
"Bloomfield School District",".","Carmen Arace Middle School","=""0115211""",51,25.0
"Bloomfield School District",".","Global Experience Magnet School","=""0116311""",45,21.7
"Bloomfield School District",".","Laurel School","=""0110611""",17,4.9
"Bloomfield School District",".","Learning Academy at Bloomfield","=""0116411""","*","*"
"Bloomfield School District",".","Metacomet School","=""0110511""",16,6.2
"Bloomfield School District",".","SAGE","=""3480415""","N/A","*"
"Bloomfield School District",".","Wintonbury Early Childhood Magnet School","=""0110811""","*","*"
"Branford School District",".","Branford High School","=""0146111""",96,10.6
"Branford School District",".","Branford High School Horizons Program","=""0140211""",27,50.0
"Branford School District",".","Bridgeport Detention Center","=""3480115""","N/A","*"
"Branford School District",".","Francis Walsh Intermediate School","=""0145111""",59,6.5
"Branford School District",".","Indian Neck School","=""0148011""","N/A","N/A"
"Branford School District",".","John B. Sliney School","=""0141611""","*","*"
"Branford School District",".","Mary R. Tisko School","=""0141511""","N/A","N/A"
"Branford School District",".","Mary T. Murphy School","=""0141411""","N/A","N/A"
"Danbury School District",".","Alternative Center For Excellence","=""0346211""",34,33.3
"Danbury School District",".","Broadview Middle School","=""0345111""",56,5.4
"Danbury School District",".","DPS Early Childhood Center","=""0340111""","N/A","N/A"
"Danbury School District",".","Danbury High School","=""0346111""",555,18.7
"Danbury School District",".","Ellsworth Avenue School","=""0341411""","N/A","N/A"
"Danbury School District",".","Great Plain School","=""0341111""","*","*"
"Danbury School District",".","Hayestown Avenue School","=""0340211""","N/A","N/A"
"Danbury School District",".","King Street Intermediate School","=""0341711""","*","*"
"Danbury School District",".","King Street Primary School","=""0341311""","N/A","N/A"
"Danbury School District",".","Mill Ridge Primary School","=""0340511""","N/A","N/A"
"Danbury School District",".","Morris Street School","=""0340611""","N/A","N/A"
"Danbury School District",".","Park Avenue School","=""0340811""",6,1.0
"Danbury School District",".","Pembroke School","=""0341511""","N/A","N/A"
"Danbury School District",".","Rogers Park Middle School","=""0345211""",111,11.3
"Danbury School District",".","Shelter Rock School","=""0341211""","*","*"
"Danbury School District",".","South Street School","=""0341011""","*","*"
"Danbury School District",".","Stadley Rough School","=""0341611""","*","*"
"Danbury School District",".","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","N/A","N/A"
"Danbury School District",".","Westside Middle School Academy","=""0340311""",47,9.5
"Glastonbury School District",".","Buttonball Lane School","=""0540211""","N/A","N/A"
"Glastonbury School District",".","Eastbury School","=""0540311""","*","*"
"Glastonbury School District",".","Gideon Welles School","=""0540811""",9,1.9
"Glastonbury School District",".","Glastonbury High School","=""0546111""",46,2.3
"Glastonbury School District",".","Hebron Avenue School","=""0540411""","N/A","N/A"
"Glastonbury School District",".","Hopewell School","=""0540611""","*","*"
"Glastonbury School District",".","Links Academy","=""0540111""","N/A","N/A"
"Glastonbury School District",".","Links Transition","=""0541411""","N/A","*"
"Glastonbury School District",".","Naubuc School","=""0540711""","N/A","N/A"
"Glastonbury School District",".","Nayaug Elementary School","=""0540911""","N/A","N/A"
"Glastonbury School District",".","PreK-Eastbury","=""0540511""","N/A","N/A"
"Glastonbury School District",".","PreK-Nayaug","=""0541011""","N/A","N/A"
"Glastonbury School District",".","Smith Middle School","=""0545211""",11,1.1
"Granby School District",".","Frank M. Kearns Primary School","=""0560111""",6,1.4
"Granby School District",".","Granby Memorial High School","=""0566111""",33,4.8
"Granby School District",".","Granby Memorial Middle School","=""0565111""",19,6.1
"Granby School District",".","Kelly Lane Primary School","=""0560411""","*","*"
"Granby School District",".","Wells Road Intermediate School","=""0560311""","*","*"
"Barkhamsted School District",".","Barkhamsted Elementary School","=""0050111""","N/A","N/A"
"Barkhamsted School District",".","Bridges at Barkhamsted Elementary School","=""0050211""","N/A","*"
"Barkhamsted School District",".","Shared Services Integrated Preschool","=""0058011""","N/A","N/A"
"Bethel School District",".","Anna H. Rockwell School","=""0090411""","*","*"
"Bethel School District",".","Bethel High School","=""0096111""",118,13.1
"Bethel School District",".","Bethel Middle School","=""0095111""",52,7.9
"Bethel School District",".","Frank A. Berry School","=""0090111""","*","*"
"Bethel School District",".","Ralph M. T. Johnson School","=""0090511""",30,7.0
"Berlin School District",".","Berlin High School","=""0076111""",40,4.2
"Berlin School District",".","Catherine M. McGee Middle School","=""0075111""",46,6.8
"Berlin School District",".","Emma Hart Willard School","=""0070411""","N/A","N/A"
"Berlin School District",".","Mary E. Griswold School","=""0070511""","N/A","N/A"
"Berlin School District",".","Richard D. Hubbard School","=""0070111""","*","*"
"Bethany School District",".","Bethany Community School","=""0080111""","*","*"
"Columbia School District",".","Horace W. Porter School","=""0300111""",11,2.4
"Coventry School District",".","Capt. Nathan Hale School","=""0325111""",12,3.0
"Coventry School District",".","Coventry Academy","=""0320111""","*","*"
"Coventry School District",".","Coventry Grammar School","=""0320211""","N/A","N/A"
"Coventry School District",".","Coventry High School","=""0326111""",23,4.9
"Coventry School District",".","George Hersey Robertson School","=""0320411""",6,1.7
"Coventry School District",".","Hale Early Education Center","=""0320311""","N/A","N/A"
"Cromwell School District",".","Cromwell High School","=""0336111""",60,10.4
"Cromwell School District",".","Cromwell Middle School","=""0335111""",43,9.6
"Cromwell School District",".","Edna C. Stevens School","=""0330211""",12,2.5
"Cromwell School District",".","Woodside Intermediate School","=""0330311""",15,3.1
"Farmington School District",".","East Farms School","=""0520411""","*","*"
"Farmington School District",".","Farmington Alternative High School","=""0520611""",7,"*"
"Farmington School District",".","Farmington Collaborative PK","=""0528011""","N/A","N/A"
"Farmington School District",".","Farmington High School","=""0526111""",25,2.1
"Farmington School District",".","Irving A. Robbins Middle School","=""0525111""",15,2.4
"Farmington School District",".","Noah Wallace School","=""0520211""","*","*"
"Farmington School District",".","Union School","=""0520111""","*","*"
"Farmington School District",".","West District School","=""0520311""","*","*"
"Farmington School District",".","West Woods Upper Elementary School","=""0520511""","*","*"
"Franklin School District",".","Franklin Elementary School","=""0530111""",9,5.3
"Andover School District",".","Andover Elementary School","=""0010111""","*","*"
"Ansonia School District",".","Ansonia High School","=""0026111""",49,8.2
"Ansonia School District",".","Ansonia Middle School","=""0025111""",88,18.5
"Ansonia School District",".","Mead School","=""0020311""",28,4.5
"Ansonia School District",".","P.A.C.E. (Positive And Creative Education)","=""0020111""",13,38.2
"Ansonia School District",".","Prendergast School","=""0020811""",19,2.8
"Avon School District",".","Avon High School","=""0046111""",24,2.3
"Avon School District",".","Avon Middle School","=""0045111""",24,4.4
"Avon School District",".","Avon Public Schools Pre-K","=""0040111""","N/A","N/A"
"Avon School District",".","Pine Grove School","=""0040411""",6,1.0
