"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","ELL","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","ELA","N",175,168,96.0,168,18,10.7,39,23.2,57,33.9,54,32.1,111,66.1
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Math","N",175,168,96.0,168,42,25.0,64,38.1,42,25.0,20,11.9,62,36.9
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","ELA","N",667,666,99.9,666,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","ELA","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Math","N",667,666,99.9,666,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Math","Y",8,8,"*",7,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","ELA","N",216,215,99.5,215,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","ELA","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Math","N",216,215,99.5,215,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Math","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
