district_code,district,grand_total,drg,drg_grand_total,state_grand_total,school_code
2720013,Explorations District,57055.0,,,68786.73711,2720013
0510011,Fairfield School District,74114.72881,B,71772.56028,68786.73711,0510011
0520011,Farmington School District,71772.56028,B,71772.56028,68786.73711,0520011
0530011,Franklin School District,65782.0,E,63440.823205,68786.73711,0530011
0540011,Glastonbury School District,71979.74142,B,71772.56028,68786.73711,0540011
0560011,Granby School District,64021.1194,B,71772.56028,68786.73711,0560011
0570011,Greenwich School District,86721.74316,B,71772.56028,68786.73711,0570011
0580011,Griswold School District,62504.30252,F,63686.00568,68786.73711,0580011
0590011,Groton School District,71112.13239,G,64659.69474,68786.73711,0590011
0600011,Guilford School District,66503.48,B,71772.56028,68786.73711,0600011
0620011,Hamden School District,68266.90274,G,64659.69474,68786.73711,0620011
0630011,Hampton School District,61584.23077,E,63440.823205,68786.73711,0630011
0640011,Hartford School District,66508.12261,I,61782.33333,68786.73711,0640011
0650011,Hartland School District,66829.31579,E,63440.823205,68786.73711,0650011
0670011,Hebron School District,63256.96721,C,64867.747545,68786.73711,0670011
2860013,Highville Charter School District,49309.37037,,,68786.73711,2860013
2640013,Integrated Day Charter School District,53694.61905,,,68786.73711,2640013
2650013,Interdistrict School for Arts and Comm District,50551.2,,,68786.73711,2650013
2610013,Jumoke Academy District,57110.58065,,,68786.73711,2610013
0680011,Kent School District,69270.48,E,63440.823205,68786.73711,0680011
0690011,Killingly School District,60179.96,G,64659.69474,68786.73711,0690011
2450014,Learn,53658.2807,,,68786.73711,2450014
0710011,Lebanon School District,64158.16667,E,63440.823205,68786.73711,0710011
0720011,Ledyard School District,69611.45509,D,67826.620525,68786.73711,0720011
0730011,Lisbon School District,65148.88889,E,63440.823205,68786.73711,0730011
0740011,Litchfield School District,65068.06818,E,63440.823205,68786.73711,0740011
0760011,Madison School District,66689.53112,B,71772.56028,68786.73711,0760011
0770011,Manchester School District,63381.96739,G,64659.69474,68786.73711,0770011
0780011,Mansfield School District,69773.87619,C,64867.747545,68786.73711,0780011
0790011,Marlborough School District,71057.62162,C,64867.747545,68786.73711,0790011
0800011,Meriden School District,71296.19959,H,70578.3952,68786.73711,0800011
0830011,Middletown School District,69145.65287,G,64659.69474,68786.73711,0830011
0840011,Milford School District,67159.11038,D,67826.620525,68786.73711,0840011
0850011,Monroe School District,81538.09005,B,71772.56028,68786.73711,0850011
0860011,Montville School District,68504.65294,F,63686.00568,68786.73711,0860011
0880011,Naugatuck School District,72157.2332,G,64659.69474,68786.73711,0880011
,New Beginnings Inc. Family Academy District,53750.7037,,,68786.73711,
0890011,New Britain School District,78534.54162,I,61782.33333,68786.73711,0890011
0900011,New Canaan School District,79662.70323,A,79662.70323,68786.73711,0900011
0910011,New Fairfield School District,69740.69231,B,71772.56028,68786.73711,0910011
0920011,New Hartford School District,69268.0,C,64867.747545,68786.73711,0920011
0930011,New Haven School District,59767.05899,I,61782.33333,68786.73711,0930011
0950011,New London School District,61782.33333,I,61782.33333,68786.73711,0950011
0960011,New Milford School District,64147.0,D,67826.620525,68786.73711,0960011
0940011,Newington School District,74488.7037,D,67826.620525,68786.73711,0940011
0970011,Newtown School District,69311.96542,B,71772.56028,68786.73711,0970011
0980011,Norfolk School District,52856.0,E,63440.823205,68786.73711,0980011
0990011,North Branford School District,66123.04317,E,63440.823205,68786.73711,0990011
1000011,North Canaan School District,64637.17241,F,63686.00568,68786.73711,1000011
1010011,North Haven School District,66302.68908,D,67826.620525,68786.73711,1010011
1020011,North Stonington School District,64137.6875,E,63440.823205,68786.73711,1020011
1030011,Norwalk School District,85443.38986,H,70578.3952,68786.73711,1030011
,Norwich Free Academy,67373.05556,,,68786.73711,
