district,district_code,school,school_code,subject,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year,drg
Connecticut Technical High School System,9000016,Henry Abbott Technical High School,9001216,ELA,150,146,97.3,146,19,13.0,56,38.4,50,34.2,21,14.4,71,48.6,2014-15,
Connecticut Technical High School System,9000016,Henry Abbott Technical High School,9001216,Math,150,146,97.3,146,98,67.1,35,24.0,*,*,*,*,13,8.9,2014-15,
Connecticut Technical High School System,9000016,Howell Cheney Technical High School,9001616,ELA,156,156,100.0,156,13,8.3,41,26.3,77,49.4,25,16.0,102,65.4,2014-15,
Connecticut Technical High School System,9000016,Howell Cheney Technical High School,9001616,Math,156,156,100.0,156,103,66.0,39,25.0,14,9.0,0,0.0,14,9.0,2014-15,
Connecticut Technical High School System,9000016,Norwich Technical High School,9002016,ELA,160,157,98.1,157,*,*,48,30.6,76,48.4,*,*,*,*,2014-15,
Connecticut Technical High School System,9000016,Norwich Technical High School,9002016,Math,160,154,96.3,154,92,59.7,48,31.2,*,*,*,*,14,9.1,2014-15,
Connecticut Technical High School System,9000016,Oliver Wolcott Technical High School,9002216,ELA,157,148,94.3,148,48,32.4,60,40.5,32,21.6,8,5.4,40,27.0,2014-15,
Connecticut Technical High School System,9000016,Oliver Wolcott Technical High School,9002216,Math,156,148,94.9,148,89,60.1,45,30.4,*,*,*,*,14,9.5,2014-15,
Connecticut Technical High School System,9000016,Platt Technical High School,9002616,ELA,195,193,99.0,193,29,15.0,54,28.0,85,44.0,25,13.0,110,57.0,2014-15,
Connecticut Technical High School System,9000016,Platt Technical High School,9002616,Math,195,192,98.5,192,102,53.1,55,28.6,*,*,*,*,35,18.2,2014-15,
Connecticut Technical High School System,9000016,Vinal Technical High School,9001816,ELA,154,147,95.5,147,26,17.7,62,42.2,45,30.6,14,9.5,59,40.1,2014-15,
Connecticut Technical High School System,9000016,Vinal Technical High School,9001816,Math,154,150,97.4,150,91,60.7,48,32.0,*,*,*,*,11,7.3,2014-15,
Connecticut Technical High School System,9000016,W. F. Kaynor Technical High School,9002316,ELA,177,176,99.4,176,7,4.0,34,19.3,98,55.7,37,21.0,135,76.7,2014-15,
Connecticut Technical High School System,9000016,W. F. Kaynor Technical High School,9002316,Math,177,167,94.4,167,63,37.7,68,40.7,*,*,*,*,36,21.6,2014-15,
Connecticut Technical High School System,9000016,Windham Technical High School,9002416,ELA,130,125,96.2,125,17,13.6,41,32.8,57,45.6,10,8.0,67,53.6,2014-15,
Connecticut Technical High School System,9000016,Windham Technical High School,9002416,Math,130,125,96.2,125,69,55.2,48,38.4,*,*,*,*,8,6.4,2014-15,
Cooperative Educational Services,2430014,Developmental Learning Center (DLC),2439214,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,
Cooperative Educational Services,2430014,Developmental Learning Center (DLC),2439214,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,
Cooperative Educational Services,2430014,Six-Six Magnet School,2430114,ELA,247,244,98.8,244,*,*,73,29.9,83,34.0,*,*,*,*,2014-15,
Cooperative Educational Services,2430014,Six-Six Magnet School,2430114,Math,247,245,99.2,245,*,*,95,38.8,68,27.8,*,*,*,*,2014-15,
Cooperative Educational Services,2430014,Therapeutic Day Program,2439414,ELA,*,*,*,*,73,66.4,*,*,*,*,*,*,*,*,2014-15,
Cooperative Educational Services,2430014,Therapeutic Day Program,2439414,Math,*,*,*,*,87,79.8,*,*,*,*,*,*,*,*,2014-15,
Cornwall School District,0310011,Cornwall Consolidated School,0310111,ELA,65,61,93.8,61,*,*,*,*,26,42.6,15,24.6,41,67.2,2014-15,C
Cornwall School District,0310011,Cornwall Consolidated School,0310111,Math,65,61,93.8,61,11,18.0,13,21.3,24,39.3,13,21.3,37,60.7,2014-15,C
Coventry School District,0320011,Capt. Nathan Hale School,0325111,ELA,385,376,97.7,376,26,6.9,75,19.9,186,49.5,89,23.7,275,73.1,2014-15,E
Coventry School District,0320011,Capt. Nathan Hale School,0325111,Math,385,371,96.4,371,69,18.6,134,36.1,105,28.3,63,17.0,168,45.3,2014-15,E
Coventry School District,0320011,Coventry Academy,0320111,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,E
Coventry School District,0320011,Coventry Academy,0320111,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,E
Coventry School District,0320011,Coventry High School,0326111,ELA,126,108,85.7,107,28,26.2,29,27.1,31,29.0,19,17.8,50,46.7,2014-15,E
Coventry School District,0320011,Coventry High School,0326111,Math,126,101,80.2,101,50,49.5,21,20.8,22,21.8,8,7.9,30,29.7,2014-15,E
Coventry School District,0320011,George Hersey Robertson School,0320411,ELA,365,363,99.5,363,48,13.2,67,18.5,131,36.1,117,32.2,248,68.3,2014-15,E
Coventry School District,0320011,George Hersey Robertson School,0320411,Math,365,363,99.5,363,61,16.8,126,34.7,112,30.9,64,17.6,176,48.5,2014-15,E
Cromwell School District,0330011,Cromwell High School,0336111,ELA,140,137,97.9,137,19,13.9,31,22.6,42,30.7,45,32.8,87,63.5,2014-15,D
Cromwell School District,0330011,Cromwell High School,0336111,Math,140,137,97.9,137,53,38.7,28,20.4,33,24.1,23,16.8,56,40.9,2014-15,D
Cromwell School District,0330011,Cromwell Middle School,0335111,ELA,450,450,100.0,450,33,7.3,87,19.3,200,44.4,130,28.9,330,73.3,2014-15,D
Cromwell School District,0330011,Cromwell Middle School,0335111,Math,451,450,99.8,450,117,26.0,137,30.4,120,26.7,76,16.9,196,43.6,2014-15,D
Cromwell School District,0330011,Woodside Intermediate School,0330311,ELA,476,475,99.8,475,86,18.1,109,22.9,156,32.8,124,26.1,280,58.9,2014-15,D
Cromwell School District,0330011,Woodside Intermediate School,0330311,Math,474,474,100.0,474,109,23.0,151,31.9,134,28.3,80,16.9,214,45.1,2014-15,D
Danbury School District,0340011,Alternative Center For Excellence,0346211,ELA,19,15,*,15,*,*,*,*,*,*,*,*,*,*,2014-15,H
Danbury School District,0340011,Alternative Center For Excellence,0346211,Math,19,15,*,15,*,*,*,*,*,*,*,*,*,*,2014-15,H
Danbury School District,0340011,Broadview Middle School,0345111,ELA,1068,934,87.5,918,250,27.2,292,31.8,294,32.0,82,8.9,376,41.0,2014-15,H
Danbury School District,0340011,Broadview Middle School,0345111,Math,1067,904,84.7,897,433,48.3,273,30.4,144,16.1,47,5.2,191,21.3,2014-15,H
Danbury School District,0340011,Danbury High School,0346111,ELA,633,85,13.4,85,34,40.0,20,23.5,13,15.3,18,21.2,31,36.5,2014-15,H
Danbury School District,0340011,Danbury High School,0346111,Math,633,99,15.6,99,56,56.6,23,23.2,11,11.1,9,9.1,20,20.2,2014-15,H
Danbury School District,0340011,Ellsworth Avenue School,0341411,ELA,194,187,96.4,187,37,19.8,55,29.4,70,37.4,25,13.4,95,50.8,2014-15,H
Danbury School District,0340011,Ellsworth Avenue School,0341411,Math,195,192,98.5,192,64,33.3,90,46.9,30,15.6,8,4.2,38,19.8,2014-15,H
Danbury School District,0340011,Great Plain School,0341111,ELA,152,123,80.9,123,28,22.8,27,22.0,34,27.6,34,27.6,68,55.3,2014-15,H
Danbury School District,0340011,Great Plain School,0341111,Math,151,149,98.7,149,61,40.9,42,28.2,23,15.4,23,15.4,46,30.9,2014-15,H
Danbury School District,0340011,Hayestown Avenue School,0340211,ELA,188,182,96.8,182,43,23.6,38,20.9,60,33.0,41,22.5,101,55.5,2014-15,H
Danbury School District,0340011,Hayestown Avenue School,0340211,Math,188,188,100.0,188,60,31.9,61,32.4,47,25.0,20,10.6,67,35.6,2014-15,H
Danbury School District,0340011,King Street Intermediate School,0341711,ELA,370,362,97.8,361,110,30.5,85,23.5,91,25.2,75,20.8,166,46.0,2014-15,H
Danbury School District,0340011,King Street Intermediate School,0341711,Math,371,368,99.2,368,117,31.8,118,32.1,85,23.1,48,13.0,133,36.1,2014-15,H
Danbury School District,0340011,King Street Primary School,0341311,ELA,100,99,99.0,99,28,28.3,21,21.2,19,19.2,31,31.3,50,50.5,2014-15,H
Danbury School District,0340011,King Street Primary School,0341311,Math,100,99,99.0,99,27,27.3,24,24.2,28,28.3,20,20.2,48,48.5,2014-15,H
Danbury School District,0340011,Mill Ridge Primary School,0340511,ELA,83,80,96.4,80,19,23.8,21,26.3,26,32.5,14,17.5,40,50.0,2014-15,H
Danbury School District,0340011,Mill Ridge Primary School,0340511,Math,83,82,98.8,82,22,26.8,25,30.5,27,32.9,8,9.8,35,42.7,2014-15,H
Danbury School District,0340011,Morris Street School,0340611,ELA,169,167,98.8,167,43,25.7,57,34.1,53,31.7,14,8.4,67,40.1,2014-15,H
Danbury School District,0340011,Morris Street School,0340611,Math,169,169,100.0,169,55,32.5,72,42.6,35,20.7,7,4.1,42,24.9,2014-15,H
Danbury School District,0340011,Park Avenue School,0340811,ELA,254,246,96.9,246,75,30.5,77,31.3,63,25.6,31,12.6,94,38.2,2014-15,H
Danbury School District,0340011,Park Avenue School,0340811,Math,254,254,100.0,254,92,36.2,92,36.2,53,20.9,17,6.7,70,27.6,2014-15,H
Danbury School District,0340011,Pembroke School,0341511,ELA,175,173,98.9,172,31,18.0,46,26.7,53,30.8,42,24.4,95,55.2,2014-15,H
Danbury School District,0340011,Pembroke School,0341511,Math,175,174,99.4,174,43,24.7,58,33.3,57,32.8,16,9.2,73,42.0,2014-15,H
Danbury School District,0340011,Rogers Park Middle School,0345211,ELA,934,876,93.8,872,227,26.0,280,32.1,297,34.1,68,7.8,365,41.9,2014-15,H
Danbury School District,0340011,Rogers Park Middle School,0345211,Math,934,904,96.8,903,433,48.0,299,33.1,136,15.1,35,3.9,171,18.9,2014-15,H
Danbury School District,0340011,Shelter Rock School,0341211,ELA,244,240,98.4,240,60,25.0,47,19.6,76,31.7,57,23.8,133,55.4,2014-15,H
Danbury School District,0340011,Shelter Rock School,0341211,Math,244,243,99.6,243,68,28.0,95,39.1,52,21.4,28,11.5,80,32.9,2014-15,H
Danbury School District,0340011,South Street School,0341011,ELA,173,171,98.8,171,47,27.5,60,35.1,47,27.5,17,9.9,64,37.4,2014-15,H
Danbury School District,0340011,South Street School,0341011,Math,173,173,100.0,173,72,41.6,61,35.3,33,19.1,7,4.0,40,23.1,2014-15,H
Danbury School District,0340011,Stadley Rough School,0341611,ELA,235,226,96.2,226,55,24.3,55,24.3,73,32.3,43,19.0,116,51.3,2014-15,H
Danbury School District,0340011,Stadley Rough School,0341611,Math,235,232,98.7,231,85,36.8,78,33.8,52,22.5,16,6.9,68,29.4,2014-15,H
Danbury School District,0340011,Western CT Academy of International Studies Elementary Magnet School,0341911,ELA,208,206,99.0,206,21,10.2,34,16.5,64,31.1,87,42.2,151,73.3,2014-15,H
Danbury School District,0340011,Western CT Academy of International Studies Elementary Magnet School,0341911,Math,208,205,98.6,205,29,14.1,67,32.7,67,32.7,42,20.5,109,53.2,2014-15,H
Danbury School District,0340011,Westside Middle School Academy,0340311,ELA,398,395,99.2,395,46,11.6,98,24.8,162,41.0,89,22.5,251,63.5,2014-15,H
Danbury School District,0340011,Westside Middle School Academy,0340311,Math,398,394,99.0,394,80,20.3,137,34.8,99,25.1,78,19.8,177,44.9,2014-15,H
Darien School District,0350011,Darien High School,0356111,ELA,328,282,86.0,271,26,9.6,34,12.5,114,42.1,97,35.8,211,77.9,2014-15,A
Darien School District,0350011,Darien High School,0356111,Math,328,260,79.3,245,57,23.3,44,18.0,78,31.8,66,26.9,144,58.8,2014-15,A
Darien School District,0350011,Hindley Elementary School,0350211,ELA,299,297,99.3,297,14,4.7,28,9.4,77,25.9,178,59.9,255,85.9,2014-15,A
Darien School District,0350011,Hindley Elementary School,0350211,Math,299,297,99.3,297,15,5.1,60,20.2,108,36.4,114,38.4,222,74.7,2014-15,A
Darien School District,0350011,Holmes Elementary School,0350711,ELA,215,215,100.0,215,11,5.1,26,12.1,59,27.4,119,55.3,178,82.8,2014-15,A
Darien School District,0350011,Holmes Elementary School,0350711,Math,215,215,100.0,215,15,7.0,42,19.5,72,33.5,86,40.0,158,73.5,2014-15,A
Darien School District,0350011,Middlesex Middle School,0355111,ELA,1123,1105,98.4,1102,21,1.9,106,9.6,476,43.2,499,45.3,975,88.5,2014-15,A
Darien School District,0350011,Middlesex Middle School,0355111,Math,1123,1103,98.2,1103,58,5.3,141,12.8,306,27.7,598,54.2,904,82.0,2014-15,A
Darien School District,0350011,Ox Ridge Elementary School,0351311,ELA,234,233,99.6,233,15,6.4,30,12.9,63,27.0,125,53.6,188,80.7,2014-15,A
Darien School District,0350011,Ox Ridge Elementary School,0351311,Math,234,234,100.0,234,16,6.8,48,20.5,86,36.8,84,35.9,170,72.6,2014-15,A
Darien School District,0350011,Royle Elementary School,0350511,ELA,199,198,99.5,198,16,8.1,31,15.7,52,26.3,99,50.0,151,76.3,2014-15,A
Darien School District,0350011,Royle Elementary School,0350511,Math,199,198,99.5,198,13,6.6,51,25.8,59,29.8,75,37.9,134,67.7,2014-15,A
Darien School District,0350011,Tokeneke Elementary School,0350611,ELA,217,216,99.5,216,*,*,*,*,52,24.1,148,68.5,200,92.6,2014-15,A
Darien School District,0350011,Tokeneke Elementary School,0350611,Math,217,216,99.5,216,10,4.6,31,14.4,76,35.2,99,45.8,175,81.0,2014-15,A
Deep River School District,0360011,Deep River Elementary School,0360111,ELA,197,197,100.0,196,23,11.7,40,20.4,61,31.1,72,36.7,133,67.9,2014-15,E
Deep River School District,0360011,Deep River Elementary School,0360111,Math,197,197,100.0,197,33,16.8,53,26.9,75,38.1,36,18.3,111,56.3,2014-15,E
Derby School District,0370011,Bradley School,0370611,ELA,189,189,100.0,189,37,19.6,60,31.7,54,28.6,38,20.1,92,48.7,2014-15,H
Derby School District,0370011,Bradley School,0370611,Math,189,188,99.5,188,52,27.7,72,38.3,48,25.5,16,8.5,64,34.0,2014-15,H
Derby School District,0370011,Derby High School,0376111,ELA,82,80,97.6,80,27,33.8,21,26.3,24,30.0,8,10.0,32,40.0,2014-15,H
Derby School District,0370011,Derby High School,0376111,Math,82,79,96.3,79,58,73.4,13,16.5,*,*,*,*,8,10.1,2014-15,H
Derby School District,0370011,Derby Middle School,0375011,ELA,332,326,98.2,323,107,33.1,87,26.9,104,32.2,25,7.7,129,39.9,2014-15,H
Derby School District,0370011,Derby Middle School,0375011,Math,332,325,97.9,325,157,48.3,105,32.3,49,15.1,14,4.3,63,19.4,2014-15,H
Derby School District,0370011,Irving School,0370411,ELA,172,171,99.4,170,55,32.4,47,27.6,44,25.9,24,14.1,68,40.0,2014-15,H
Derby School District,0370011,Irving School,0370411,Math,172,170,98.8,169,65,38.5,61,36.1,35,20.7,8,4.7,43,25.4,2014-15,H
East Granby School District,0400011,East Granby High School,0406111,ELA,71,71,100.0,71,8,11.3,14,19.7,25,35.2,24,33.8,49,69.0,2014-15,D
East Granby School District,0400011,East Granby High School,0406111,Math,71,71,100.0,71,18,25.4,17,23.9,18,25.4,18,25.4,36,50.7,2014-15,D
East Granby School District,0400011,East Granby Middle School,0405111,ELA,211,209,99.1,209,17,8.1,45,21.5,93,44.5,54,25.8,147,70.3,2014-15,D
East Granby School District,0400011,East Granby Middle School,0405111,Math,211,208,98.6,208,34,16.3,63,30.3,63,30.3,48,23.1,111,53.4,2014-15,D
East Granby School District,0400011,R. Dudley Seymour School,0400211,ELA,185,185,100.0,185,13,7.0,32,17.3,62,33.5,78,42.2,140,75.7,2014-15,D
East Granby School District,0400011,R. Dudley Seymour School,0400211,Math,184,184,100.0,184,14,7.6,44,23.9,54,29.3,72,39.1,126,68.5,2014-15,D
East Haddam School District,0410011,East Haddam Elementary School,0410111,ELA,72,71,98.6,71,*,*,*,*,22,31.0,32,45.1,54,76.1,2014-15,E
East Haddam School District,0410011,East Haddam Elementary School,0410111,Math,72,71,98.6,71,8,11.3,9,12.7,32,45.1,22,31.0,54,76.1,2014-15,E
East Haddam School District,0410011,Nathan Hale-Ray High School,0416111,ELA,75,68,90.7,68,6,8.8,9,13.2,31,45.6,22,32.4,53,77.9,2014-15,E
East Haddam School District,0410011,Nathan Hale-Ray High School,0416111,Math,75,68,90.7,68,24,35.3,25,36.8,10,14.7,9,13.2,19,27.9,2014-15,E
East Haddam School District,0410011,Nathan Hale-Ray Middle School,0415111,ELA,450,440,97.8,439,59,13.4,79,18.0,182,41.5,119,27.1,301,68.6,2014-15,E
East Haddam School District,0410011,Nathan Hale-Ray Middle School,0415111,Math,450,439,97.6,439,89,20.3,140,31.9,122,27.8,88,20.0,210,47.8,2014-15,E
East Hampton School District,0420011,Center School,0420311,ELA,282,273,96.8,273,39,14.3,53,19.4,88,32.2,93,34.1,181,66.3,2014-15,D
East Hampton School District,0420011,Center School,0420311,Math,282,272,96.5,272,42,15.4,95,34.9,81,29.8,54,19.9,135,49.6,2014-15,D
East Hampton School District,0420011,East Hampton High School,0426111,ELA,145,140,96.6,140,18,12.9,23,16.4,55,39.3,44,31.4,99,70.7,2014-15,D
East Hampton School District,0420011,East Hampton High School,0426111,Math,145,140,96.6,140,46,32.9,41,29.3,39,27.9,14,10.0,53,37.9,2014-15,D
East Hampton School District,0420011,East Hampton Middle School,0425111,ELA,429,418,97.4,418,59,14.1,104,24.9,182,43.5,73,17.5,255,61.0,2014-15,D
East Hampton School District,0420011,East Hampton Middle School,0425111,Math,429,418,97.4,418,106,25.4,147,35.2,113,27.0,52,12.4,165,39.5,2014-15,D
East Hampton School District,0420011,Memorial School,0420111,ELA,161,156,96.9,156,13,8.3,45,28.8,42,26.9,56,35.9,98,62.8,2014-15,D
East Hampton School District,0420011,Memorial School,0420111,Math,161,154,95.7,154,22,14.3,56,36.4,58,37.7,18,11.7,76,49.4,2014-15,D
East Hampton School District,0420011,The Learning Center at East Hampton,0429011,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,D
East Hampton School District,0420011,The Learning Center at East Hampton,0429011,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,D
East Hartford School District,0430011,Anna E. Norris School,0430911,ELA,128,127,99.2,126,71,56.3,27,21.4,22,17.5,6,4.8,28,22.2,2014-15,H
East Hartford School District,0430011,Anna E. Norris School,0430911,Math,127,126,99.2,126,70,55.6,39,31.0,*,*,*,*,17,13.5,2014-15,H
East Hartford School District,0430011,Connecticut IB Academy,0436311,ELA,47,47,100.0,47,*,*,*,*,25,53.2,17,36.2,42,89.4,2014-15,H
East Hartford School District,0430011,Connecticut IB Academy,0436311,Math,47,47,100.0,47,7,14.9,14,29.8,19,40.4,7,14.9,26,55.3,2014-15,H
East Hartford School District,0430011,Dr. Franklin H. Mayberry School,0430611,ELA,168,163,97.0,163,77,47.2,46,28.2,30,18.4,10,6.1,40,24.5,2014-15,H
East Hartford School District,0430011,Dr. Franklin H. Mayberry School,0430611,Math,162,162,100.0,162,90,55.6,47,29.0,*,*,*,*,25,15.4,2014-15,H
East Hartford School District,0430011,Dr. John A. Langford School,0432211,ELA,190,189,99.5,189,81,42.9,60,31.7,42,22.2,6,3.2,48,25.4,2014-15,H
East Hartford School District,0430011,Dr. John A. Langford School,0432211,Math,187,187,100.0,187,88,47.1,66,35.3,*,*,*,*,33,17.6,2014-15,H
East Hartford School District,0430011,Dr. Thomas S. O'Connell School,0431011,ELA,308,308,100.0,308,119,38.6,58,18.8,85,27.6,46,14.9,131,42.5,2014-15,H
East Hartford School District,0430011,Dr. Thomas S. O'Connell School,0431011,Math,306,306,100.0,306,114,37.3,113,36.9,55,18.0,24,7.8,79,25.8,2014-15,H
East Hartford School District,0430011,East Hartford High School,0436211,ELA,389,389,100.0,389,76,19.5,116,29.8,152,39.1,45,11.6,197,50.6,2014-15,H
East Hartford School District,0430011,East Hartford High School,0436211,Math,388,387,99.7,387,242,62.5,83,21.4,47,12.1,15,3.9,62,16.0,2014-15,H
East Hartford School District,0430011,East Hartford Middle School,0435111,ELA,1137,1107,97.4,1105,435,39.4,358,32.4,268,24.3,44,4.0,312,28.2,2014-15,H
East Hartford School District,0430011,East Hartford Middle School,0435111,Math,1136,1115,98.2,1113,689,61.9,295,26.5,102,9.2,27,2.4,129,11.6,2014-15,H
East Hartford School District,0430011,Governor William Pitkin School,0432011,ELA,150,150,100.0,150,32,21.3,37,24.7,55,36.7,26,17.3,81,54.0,2014-15,H
East Hartford School District,0430011,Governor William Pitkin School,0432011,Math,150,150,100.0,150,44,29.3,48,32.0,41,27.3,17,11.3,58,38.7,2014-15,H
East Hartford School District,0430011,Hockanum School,0430511,ELA,116,114,98.3,114,42,36.8,35,30.7,23,20.2,14,12.3,37,32.5,2014-15,H
East Hartford School District,0430011,Hockanum School,0430511,Math,116,115,99.1,115,43,37.4,36,31.3,28,24.3,8,7.0,36,31.3,2014-15,H
East Hartford School District,0430011,Joseph O. Goodwin School,0430411,ELA,141,140,99.3,140,46,32.9,36,25.7,38,27.1,20,14.3,58,41.4,2014-15,H
East Hartford School District,0430011,Joseph O. Goodwin School,0430411,Math,141,141,100.0,141,46,32.6,55,39.0,28,19.9,12,8.5,40,28.4,2014-15,H
East Hartford School District,0430011,Robert J. O'Brien School,0431811,ELA,277,273,98.6,273,128,46.9,80,29.3,51,18.7,14,5.1,65,23.8,2014-15,H
East Hartford School District,0430011,Robert J. O'Brien School,0431811,Math,272,270,99.3,270,147,54.4,93,34.4,*,*,*,*,30,11.1,2014-15,H
East Hartford School District,0430011,Silver Lane School,0431211,ELA,136,135,99.3,135,79,58.5,33,24.4,*,*,*,*,23,17.0,2014-15,H
East Hartford School District,0430011,Silver Lane School,0431211,Math,134,134,100.0,134,78,58.2,41,30.6,*,*,*,*,15,11.2,2014-15,H
East Hartford School District,0430011,Stevens Alternate High school,0436411,ELA,33,16,48.5,16,*,*,*,*,*,*,*,*,*,*,2014-15,H
East Hartford School District,0430011,Stevens Alternate High school,0436411,Math,33,18,54.5,18,*,*,*,*,*,*,*,*,*,*,2014-15,H
East Hartford School District,0430011,Sunset Ridge School Elementary Academy for Arts and World Languages,0432411,ELA,141,141,100.0,141,36,25.5,55,39.0,42,29.8,8,5.7,50,35.5,2014-15,H
East Hartford School District,0430011,Sunset Ridge School Elementary Academy for Arts and World Languages,0432411,Math,140,140,100.0,140,85,60.7,40,28.6,*,*,*,*,15,10.7,2014-15,H
East Hartford School District,0430011,Woodland School,0439011,ELA,100,83,83.0,80,76,95.0,*,*,*,*,0,0.0,*,*,2014-15,H
East Hartford School District,0430011,Woodland School,0439011,Math,101,84,83.2,82,78,95.1,*,*,*,*,0,0.0,*,*,2014-15,H
East Haven School District,0440011,Carbone School/East Haven Academy,0441711,ELA,259,258,99.6,258,41,15.9,50,19.4,113,43.8,54,20.9,167,64.7,2014-15,G
East Haven School District,0440011,Carbone School/East Haven Academy,0441711,Math,259,258,99.6,258,59,22.9,102,39.5,61,23.6,36,14.0,97,37.6,2014-15,G
East Haven School District,0440011,Dominick H. Ferrara School,0441311,ELA,185,183,98.9,183,55,30.1,42,23.0,54,29.5,32,17.5,86,47.0,2014-15,G
East Haven School District,0440011,Dominick H. Ferrara School,0441311,Math,185,184,99.5,184,42,22.8,68,37.0,60,32.6,14,7.6,74,40.2,2014-15,G
East Haven School District,0440011,East Haven High School,0446111,ELA,210,204,97.1,202,31,15.3,68,33.7,74,36.6,29,14.4,103,51.0,2014-15,G
East Haven School District,0440011,East Haven High School,0446111,Math,210,203,96.7,203,131,64.5,39,19.2,*,*,*,*,33,16.3,2014-15,G
East Haven School District,0440011,Grove J. Tuttle School,0441011,ELA,184,183,99.5,183,44,24.0,46,25.1,62,33.9,31,16.9,93,50.8,2014-15,G
East Haven School District,0440011,Grove J. Tuttle School,0441011,Math,184,184,100.0,184,78,42.4,63,34.2,37,20.1,6,3.3,43,23.4,2014-15,G
East Haven School District,0440011,Joseph Melillo Middle School,0445111,ELA,579,567,97.9,567,205,36.2,185,32.6,148,26.1,29,5.1,177,31.2,2014-15,G
East Haven School District,0440011,Joseph Melillo Middle School,0445111,Math,579,568,98.1,567,308,54.3,182,32.1,64,11.3,13,2.3,77,13.6,2014-15,G
East Haven School District,0440011,Momauguin School,0440711,ELA,150,147,98.0,147,49,33.3,40,27.2,32,21.8,26,17.7,58,39.5,2014-15,G
East Haven School District,0440011,Momauguin School,0440711,Math,150,150,100.0,150,66,44.0,47,31.3,28,18.7,9,6.0,37,24.7,2014-15,G
East Lyme School District,0450011,Coastal Connections,0450611,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,D
East Lyme School District,0450011,Coastal Connections,0450611,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,D
East Lyme School District,0450011,East Lyme High School,0456111,ELA,244,234,95.9,234,14,6.0,17,7.3,74,31.6,129,55.1,203,86.8,2014-15,D
East Lyme School District,0450011,East Lyme High School,0456111,Math,244,233,95.5,233,42,18.0,53,22.7,62,26.6,76,32.6,138,59.2,2014-15,D
East Lyme School District,0450011,East Lyme Middle School,0455111,ELA,849,833,98.1,833,86,10.3,152,18.2,365,43.8,230,27.6,595,71.4,2014-15,D
East Lyme School District,0450011,East Lyme Middle School,0455111,Math,849,832,98.0,832,138,16.6,223,26.8,228,27.4,243,29.2,471,56.6,2014-15,D
East Lyme School District,0450011,Flanders School,0450111,ELA,161,160,99.4,160,9,5.6,17,10.6,46,28.8,88,55.0,134,83.8,2014-15,D
East Lyme School District,0450011,Flanders School,0450111,Math,161,159,98.8,159,11,6.9,36,22.6,64,40.3,48,30.2,112,70.4,2014-15,D
East Lyme School District,0450011,Lillie B. Haynes School,0450411,ELA,129,129,100.0,129,13,10.1,12,9.3,30,23.3,74,57.4,104,80.6,2014-15,D
East Lyme School District,0450011,Lillie B. Haynes School,0450411,Math,129,129,100.0,129,12,9.3,27,20.9,47,36.4,43,33.3,90,69.8,2014-15,D
East Lyme School District,0450011,Niantic Center School,0450211,ELA,79,79,100.0,79,*,*,*,*,19,24.1,51,64.6,70,88.6,2014-15,D
East Lyme School District,0450011,Niantic Center School,0450211,Math,79,79,100.0,79,*,*,*,*,26,32.9,37,46.8,63,79.7,2014-15,D
East Windsor School District,0470011,Broad Brook Elementary School,0470111,ELA,159,157,98.7,157,40,25.5,41,26.1,41,26.1,35,22.3,76,48.4,2014-15,F
East Windsor School District,0470011,Broad Brook Elementary School,0470111,Math,159,158,99.4,158,37,23.4,46,29.1,43,27.2,32,20.3,75,47.5,2014-15,F
East Windsor School District,0470011,East Windsor High School,0476111,ELA,68,67,98.5,67,12,17.9,21,31.3,28,41.8,6,9.0,34,50.7,2014-15,F
East Windsor School District,0470011,East Windsor High School,0476111,Math,68,67,98.5,67,25,37.3,22,32.8,*,*,*,*,20,29.9,2014-15,F
East Windsor School District,0470011,East Windsor Middle School,0475411,ELA,306,306,100.0,304,63,20.7,89,29.3,111,36.5,41,13.5,152,50.0,2014-15,F
East Windsor School District,0470011,East Windsor Middle School,0475411,Math,306,306,100.0,304,122,40.1,115,37.8,45,14.8,22,7.2,67,22.0,2014-15,F
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Arts at the Capitol Theater Magnet School (ACT),2536014,ELA,34,24,70.6,24,*,*,*,*,11,45.8,*,*,*,*,2014-15,
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Arts at the Capitol Theater Magnet School (ACT),2536014,Math,34,24,70.6,24,16,66.7,*,*,*,*,*,*,*,*,2014-15,
