district,school,assignment_category,educator_type,dist_code,check_dist_col,district_code,school_code,check_sch_col,drg,year,count,total,pct
Bridgeport School District,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",Special Education - Paraprofessional Instructional Assistants,Non-Certified,0150011,Bridgeport School District,0150011,0150811,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,0.0,44.7,0.0
Bridgeport School District,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",Special Education - Teachers and Instructors,Certified,0150011,Bridgeport School District,0150011,0150811,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,1.0,44.7,0.0223713646532
Bridgeport School District,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",Instructional Specialists Who Support Teachers,Certified,0150011,Bridgeport School District,0150011,0150811,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,,44.7,
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Administrators  Coordinators and Department Chairs - School Level,Certified,0150011,Bridgeport School District,0150011,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,1.7,54.3,0.0313075506446
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Counselors  Social Workers  and School Psychologists,Certified,0150011,Bridgeport School District,0150011,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,1.0,54.3,0.0184162062615
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",General Education - Paraprofessional Instructional Assistants,Non-Certified,0150011,Bridgeport School District,0150011,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,0.0,54.3,0.0
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",General Education - Teachers and Instructors,Certified,0150011,Bridgeport School District,0150011,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,26.0,54.3,0.478821362799
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Library/Media - Support Staff,Non-Certified,0150011,Bridgeport School District,0150011,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,0.0,54.3,0.0
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0150011,Bridgeport School District,0150011,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,24.1,54.3,0.443830570902
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",School Nurses,Non-Certified,0150011,Bridgeport School District,0150011,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,0.3,54.3,0.00552486187845
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Special Education - Paraprofessional Instructional Assistants,Non-Certified,0150011,Bridgeport School District,0150011,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,0.0,54.3,0.0
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Special Education - Teachers and Instructors,Certified,0150011,Bridgeport School District,0150011,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,1.0,54.3,0.0184162062615
Bridgeport School District,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Instructional Specialists Who Support Teachers,Certified,0150011,Bridgeport School District,0150011,0150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",I,2015-16,0.2,54.3,0.0036832412523
Bridgeport School District,Bridgeport Military Academy,Administrators  Coordinators and Department Chairs - School Level,Certified,0150011,Bridgeport School District,0150011,0151611,Bridgeport Military Academy,I,2015-16,1.0,35.9,0.0278551532033
Bridgeport School District,Bridgeport Military Academy,Counselors  Social Workers  and School Psychologists,Certified,0150011,Bridgeport School District,0150011,0151611,Bridgeport Military Academy,I,2015-16,1.8,35.9,0.050139275766
Bridgeport School District,Bridgeport Military Academy,General Education - Paraprofessional Instructional Assistants,Non-Certified,0150011,Bridgeport School District,0150011,0151611,Bridgeport Military Academy,I,2015-16,3.0,35.9,0.08356545961
Bridgeport School District,Bridgeport Military Academy,General Education - Teachers and Instructors,Certified,0150011,Bridgeport School District,0150011,0151611,Bridgeport Military Academy,I,2015-16,15.0,35.9,0.41782729805
Bridgeport School District,Bridgeport Military Academy,Library/Media - Support Staff,Non-Certified,0150011,Bridgeport School District,0150011,0151611,Bridgeport Military Academy,I,2015-16,0.0,35.9,0.0
Bridgeport School District,Bridgeport Military Academy,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0150011,Bridgeport School District,0150011,0151611,Bridgeport Military Academy,I,2015-16,12.1,35.9,0.33704735376
Bridgeport School District,Bridgeport Military Academy,School Nurses,Non-Certified,0150011,Bridgeport School District,0150011,0151611,Bridgeport Military Academy,I,2015-16,1.0,35.9,0.0278551532033
Bridgeport School District,Bridgeport Military Academy,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0150011,Bridgeport School District,0150011,0151611,Bridgeport Military Academy,I,2015-16,0.0,35.9,0.0
Bridgeport School District,Bridgeport Military Academy,Special Education - Teachers and Instructors,Certified,0150011,Bridgeport School District,0150011,0151611,Bridgeport Military Academy,I,2015-16,2.0,35.9,0.0557103064067
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Administrators  Coordinators and Department Chairs - School Level,Certified,0150011,Bridgeport School District,0150011,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,I,2015-16,1.7,40.9,0.041564792176
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Counselors  Social Workers  and School Psychologists,Certified,0150011,Bridgeport School District,0150011,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,I,2015-16,3.0,40.9,0.0733496332518
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,General Education - Paraprofessional Instructional Assistants,Non-Certified,0150011,Bridgeport School District,0150011,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,I,2015-16,0.0,40.9,0.0
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,General Education - Teachers and Instructors,Certified,0150011,Bridgeport School District,0150011,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,I,2015-16,25.0,40.9,0.611246943765
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Library/Media - Support Staff,Non-Certified,0150011,Bridgeport School District,0150011,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,I,2015-16,0.0,40.9,0.0
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0150011,Bridgeport School District,0150011,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,I,2015-16,7.9,40.9,0.19315403423
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,School Nurses,Non-Certified,0150011,Bridgeport School District,0150011,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,I,2015-16,0.3,40.9,0.00733496332518
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0150011,Bridgeport School District,0150011,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,I,2015-16,1.0,40.9,0.0244498777506
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Special Education - Teachers and Instructors,Certified,0150011,Bridgeport School District,0150011,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,I,2015-16,2.0,40.9,0.0488997555012
Bridgeport School District,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Instructional Specialists Who Support Teachers,Certified,0150011,Bridgeport School District,0150011,0151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,I,2015-16,,40.9,
Bridgeport School District,Pride Academy,Administrators  Coordinators and Department Chairs - School Level,Certified,0150011,Bridgeport School District,0150011,0151811,Pride Academy,I,2015-16,,,
Bridgeport School District,Pride Academy,General Education - Paraprofessional Instructional Assistants,Non-Certified,0150011,Bridgeport School District,0150011,0151811,Pride Academy,I,2015-16,,,
Bridgeport School District,Pride Academy,General Education - Teachers and Instructors,Certified,0150011,Bridgeport School District,0150011,0151811,Pride Academy,I,2015-16,,,
Bridgeport School District,Pride Academy,Library/Media - Support Staff,Non-Certified,0150011,Bridgeport School District,0150011,0151811,Pride Academy,I,2015-16,,,
Bridgeport School District,Pride Academy,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0150011,Bridgeport School District,0150011,0151811,Pride Academy,I,2015-16,,,
Bridgeport School District,Pride Academy,School Nurses,Non-Certified,0150011,Bridgeport School District,0150011,0151811,Pride Academy,I,2015-16,,,
Bridgeport School District,Pride Academy,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0150011,Bridgeport School District,0150011,0151811,Pride Academy,I,2015-16,,,
Bridgeport School District,Career and Craftsmanship,Administrators  Coordinators and Department Chairs - School Level,Certified,0150011,Bridgeport School District,0150011,0152711,Career and Craftsmanship,I,2015-16,1.0,5.0,0.2
Bridgeport School District,Career and Craftsmanship,General Education - Teachers and Instructors,Certified,0150011,Bridgeport School District,0150011,0152711,Career and Craftsmanship,I,2015-16,4.0,5.0,0.8
Bristol School District,Alternative Special Education Program (ASEP),General Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0179011,Alternative Special Education Program (ASEP),G,2015-16,0.0,10.0,0.0
Bristol School District,Alternative Special Education Program (ASEP),Library/Media - Support Staff,Non-Certified,0170011,Bristol School District,0170011,0179011,Alternative Special Education Program (ASEP),G,2015-16,0.0,10.0,0.0
Bristol School District,Alternative Special Education Program (ASEP),Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0170011,Bristol School District,0170011,0179011,Alternative Special Education Program (ASEP),G,2015-16,0.0,10.0,0.0
Bristol School District,Alternative Special Education Program (ASEP),School Nurses,Non-Certified,0170011,Bristol School District,0170011,0179011,Alternative Special Education Program (ASEP),G,2015-16,0.0,10.0,0.0
Bristol School District,Alternative Special Education Program (ASEP),Special Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0179011,Alternative Special Education Program (ASEP),G,2015-16,5.0,10.0,0.5
Bristol School District,Alternative Special Education Program (ASEP),Special Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0179011,Alternative Special Education Program (ASEP),G,2015-16,5.0,10.0,0.5
Bristol School District,Bristol Central High School,Administrators  Coordinators and Department Chairs - School Level,Certified,0170011,Bristol School District,0170011,0176111,Bristol Central High School,G,2015-16,5.4,145.4,0.0371389270977
Bristol School District,Bristol Central High School,Counselors  Social Workers  and School Psychologists,Certified,0170011,Bristol School District,0170011,0176111,Bristol Central High School,G,2015-16,8.0,145.4,0.0550206327373
Bristol School District,Bristol Central High School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0176111,Bristol Central High School,G,2015-16,0.0,145.4,0.0
Bristol School District,Bristol Central High School,General Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0176111,Bristol Central High School,G,2015-16,67.6,145.4,0.46492434663
Bristol School District,Bristol Central High School,Library/Media - Support Staff,Non-Certified,0170011,Bristol School District,0170011,0176111,Bristol Central High School,G,2015-16,1.0,145.4,0.00687757909216
Bristol School District,Bristol Central High School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0170011,Bristol School District,0170011,0176111,Bristol Central High School,G,2015-16,36.0,145.4,0.247592847318
Bristol School District,Bristol Central High School,School Nurses,Non-Certified,0170011,Bristol School District,0170011,0176111,Bristol Central High School,G,2015-16,1.0,145.4,0.00687757909216
Bristol School District,Bristol Central High School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0176111,Bristol Central High School,G,2015-16,10.0,145.4,0.0687757909216
Bristol School District,Bristol Central High School,Special Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0176111,Bristol Central High School,G,2015-16,12.6,145.4,0.0866574965612
Bristol School District,Bristol Central High School,Instructional Specialists Who Support Teachers,Certified,0170011,Bristol School District,0170011,0176111,Bristol Central High School,G,2015-16,2.8,145.4,0.019257221458
Bristol School District,Bristol Central High School,Library/Media - Specialists (Certified),Certified,0170011,Bristol School District,0170011,0176111,Bristol Central High School,G,2015-16,1.0,145.4,0.00687757909216
Bristol School District,Bristol Eastern High School,Administrators  Coordinators and Department Chairs - School Level,Certified,0170011,Bristol School District,0170011,0176211,Bristol Eastern High School,G,2015-16,5.8,138.6,0.041847041847
Bristol School District,Bristol Eastern High School,Counselors  Social Workers  and School Psychologists,Certified,0170011,Bristol School District,0170011,0176211,Bristol Eastern High School,G,2015-16,8.2,138.6,0.0591630591631
Bristol School District,Bristol Eastern High School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0176211,Bristol Eastern High School,G,2015-16,0.0,138.6,0.0
Bristol School District,Bristol Eastern High School,General Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0176211,Bristol Eastern High School,G,2015-16,66.6,138.6,0.480519480519
Bristol School District,Bristol Eastern High School,Library/Media - Support Staff,Non-Certified,0170011,Bristol School District,0170011,0176211,Bristol Eastern High School,G,2015-16,1.0,138.6,0.00721500721501
Bristol School District,Bristol Eastern High School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0170011,Bristol School District,0170011,0176211,Bristol Eastern High School,G,2015-16,32.0,138.6,0.23088023088
Bristol School District,Bristol Eastern High School,School Nurses,Non-Certified,0170011,Bristol School District,0170011,0176211,Bristol Eastern High School,G,2015-16,2.0,138.6,0.01443001443
Bristol School District,Bristol Eastern High School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0176211,Bristol Eastern High School,G,2015-16,10.0,138.6,0.0721500721501
Bristol School District,Bristol Eastern High School,Special Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0176211,Bristol Eastern High School,G,2015-16,10.6,138.6,0.0764790764791
Bristol School District,Bristol Eastern High School,Instructional Specialists Who Support Teachers,Certified,0170011,Bristol School District,0170011,0176211,Bristol Eastern High School,G,2015-16,1.4,138.6,0.010101010101
Bristol School District,Bristol Eastern High School,Library/Media - Specialists (Certified),Certified,0170011,Bristol School District,0170011,0176211,Bristol Eastern High School,G,2015-16,1.0,138.6,0.00721500721501
Bristol School District,Chippens Hill Middle School,Administrators  Coordinators and Department Chairs - School Level,Certified,0170011,Bristol School District,0170011,0175111,Chippens Hill Middle School,G,2015-16,1.6,101.5,0.015763546798
Bristol School District,Chippens Hill Middle School,Counselors  Social Workers  and School Psychologists,Certified,0170011,Bristol School District,0170011,0175111,Chippens Hill Middle School,G,2015-16,4.0,101.5,0.0394088669951
Bristol School District,Chippens Hill Middle School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0175111,Chippens Hill Middle School,G,2015-16,2.0,101.5,0.0197044334975
Bristol School District,Chippens Hill Middle School,General Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0175111,Chippens Hill Middle School,G,2015-16,49.9,101.5,0.491625615764
Bristol School District,Chippens Hill Middle School,Library/Media - Support Staff,Non-Certified,0170011,Bristol School District,0170011,0175111,Chippens Hill Middle School,G,2015-16,1.0,101.5,0.00985221674877
Bristol School District,Chippens Hill Middle School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0170011,Bristol School District,0170011,0175111,Chippens Hill Middle School,G,2015-16,21.8,101.5,0.214778325123
Bristol School District,Chippens Hill Middle School,School Nurses,Non-Certified,0170011,Bristol School District,0170011,0175111,Chippens Hill Middle School,G,2015-16,1.0,101.5,0.00985221674877
Bristol School District,Chippens Hill Middle School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0175111,Chippens Hill Middle School,G,2015-16,10.0,101.5,0.0985221674877
Bristol School District,Chippens Hill Middle School,Special Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0175111,Chippens Hill Middle School,G,2015-16,7.0,101.5,0.0689655172414
Bristol School District,Chippens Hill Middle School,Instructional Specialists Who Support Teachers,Certified,0170011,Bristol School District,0170011,0175111,Chippens Hill Middle School,G,2015-16,2.2,101.5,0.0216748768473
Bristol School District,Chippens Hill Middle School,Library/Media - Specialists (Certified),Certified,0170011,Bristol School District,0170011,0175111,Chippens Hill Middle School,G,2015-16,1.0,101.5,0.00985221674877
Bristol School District,Clara T. O'Connell School,Administrators  Coordinators and Department Chairs - School Level,Certified,0170011,Bristol School District,0170011,0170711,Clara T. O'Connell School,G,2015-16,,,
Bristol School District,Clara T. O'Connell School,Counselors  Social Workers  and School Psychologists,Certified,0170011,Bristol School District,0170011,0170711,Clara T. O'Connell School,G,2015-16,,,
Bristol School District,Clara T. O'Connell School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0170711,Clara T. O'Connell School,G,2015-16,,,
Bristol School District,Clara T. O'Connell School,General Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0170711,Clara T. O'Connell School,G,2015-16,,,
Bristol School District,Clara T. O'Connell School,Library/Media - Support Staff,Non-Certified,0170011,Bristol School District,0170011,0170711,Clara T. O'Connell School,G,2015-16,,,
Bristol School District,Clara T. O'Connell School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0170011,Bristol School District,0170011,0170711,Clara T. O'Connell School,G,2015-16,,,
Bristol School District,Clara T. O'Connell School,School Nurses,Non-Certified,0170011,Bristol School District,0170011,0170711,Clara T. O'Connell School,G,2015-16,,,
Bristol School District,Clara T. O'Connell School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0170711,Clara T. O'Connell School,G,2015-16,,,
Bristol School District,Clara T. O'Connell School,Special Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0170711,Clara T. O'Connell School,G,2015-16,,,
Bristol School District,Clara T. O'Connell School,Instructional Specialists Who Support Teachers,Certified,0170011,Bristol School District,0170011,0170711,Clara T. O'Connell School,G,2015-16,,,
Bristol School District,Community/Vocational Program,General Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0179211,Community/Vocational Program,G,2015-16,0.0,5.0,0.0
Bristol School District,Community/Vocational Program,Library/Media - Support Staff,Non-Certified,0170011,Bristol School District,0170011,0179211,Community/Vocational Program,G,2015-16,0.0,5.0,0.0
Bristol School District,Community/Vocational Program,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0170011,Bristol School District,0170011,0179211,Community/Vocational Program,G,2015-16,0.0,5.0,0.0
Bristol School District,Community/Vocational Program,School Nurses,Non-Certified,0170011,Bristol School District,0170011,0179211,Community/Vocational Program,G,2015-16,0.0,5.0,0.0
Bristol School District,Community/Vocational Program,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0179211,Community/Vocational Program,G,2015-16,4.0,5.0,0.8
Bristol School District,Community/Vocational Program,Special Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0179211,Community/Vocational Program,G,2015-16,1.0,5.0,0.2
Bristol School District,Edgewood School,Administrators  Coordinators and Department Chairs - School Level,Certified,0170011,Bristol School District,0170011,0170311,Edgewood School,G,2015-16,1.0,38.4,0.0260416666667
Bristol School District,Edgewood School,Counselors  Social Workers  and School Psychologists,Certified,0170011,Bristol School District,0170011,0170311,Edgewood School,G,2015-16,1.0,38.4,0.0260416666667
Bristol School District,Edgewood School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0170311,Edgewood School,G,2015-16,1.0,38.4,0.0260416666667
Bristol School District,Edgewood School,General Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0170311,Edgewood School,G,2015-16,22.5,38.4,0.5859375
Bristol School District,Edgewood School,Library/Media - Support Staff,Non-Certified,0170011,Bristol School District,0170011,0170311,Edgewood School,G,2015-16,1.0,38.4,0.0260416666667
Bristol School District,Edgewood School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0170011,Bristol School District,0170011,0170311,Edgewood School,G,2015-16,6.1,38.4,0.158854166667
Bristol School District,Edgewood School,School Nurses,Non-Certified,0170011,Bristol School District,0170011,0170311,Edgewood School,G,2015-16,1.0,38.4,0.0260416666667
Bristol School District,Edgewood School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0170311,Edgewood School,G,2015-16,2.0,38.4,0.0520833333333
Bristol School District,Edgewood School,Special Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0170311,Edgewood School,G,2015-16,2.0,38.4,0.0520833333333
Bristol School District,Edgewood School,Instructional Specialists Who Support Teachers,Certified,0170011,Bristol School District,0170011,0170311,Edgewood School,G,2015-16,0.8,38.4,0.0208333333333
Bristol School District,Ellen P. Hubbell School,Administrators  Coordinators and Department Chairs - School Level,Certified,0170011,Bristol School District,0170011,0171411,Ellen P. Hubbell School,G,2015-16,1.0,55.5,0.018018018018
Bristol School District,Ellen P. Hubbell School,Counselors  Social Workers  and School Psychologists,Certified,0170011,Bristol School District,0170011,0171411,Ellen P. Hubbell School,G,2015-16,1.0,55.5,0.018018018018
Bristol School District,Ellen P. Hubbell School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0171411,Ellen P. Hubbell School,G,2015-16,3.0,55.5,0.0540540540541
Bristol School District,Ellen P. Hubbell School,General Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0171411,Ellen P. Hubbell School,G,2015-16,24.5,55.5,0.441441441441
Bristol School District,Ellen P. Hubbell School,Library/Media - Support Staff,Non-Certified,0170011,Bristol School District,0170011,0171411,Ellen P. Hubbell School,G,2015-16,1.0,55.5,0.018018018018
Bristol School District,Ellen P. Hubbell School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0170011,Bristol School District,0170011,0171411,Ellen P. Hubbell School,G,2015-16,9.5,55.5,0.171171171171
Bristol School District,Ellen P. Hubbell School,School Nurses,Non-Certified,0170011,Bristol School District,0170011,0171411,Ellen P. Hubbell School,G,2015-16,1.0,55.5,0.018018018018
Bristol School District,Ellen P. Hubbell School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0171411,Ellen P. Hubbell School,G,2015-16,4.0,55.5,0.0720720720721
Bristol School District,Ellen P. Hubbell School,Special Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0171411,Ellen P. Hubbell School,G,2015-16,3.5,55.5,0.0630630630631
Bristol School District,Ellen P. Hubbell School,Instructional Specialists Who Support Teachers,Certified,0170011,Bristol School District,0170011,0171411,Ellen P. Hubbell School,G,2015-16,7.0,55.5,0.126126126126
Bristol School District,Greene-Hills School,Administrators  Coordinators and Department Chairs - School Level,Certified,0170011,Bristol School District,0170011,0170511,Greene-Hills School,G,2015-16,3.0,100.7,0.0297914597815
Bristol School District,Greene-Hills School,Counselors  Social Workers  and School Psychologists,Certified,0170011,Bristol School District,0170011,0170511,Greene-Hills School,G,2015-16,2.7,100.7,0.0268123138034
Bristol School District,Greene-Hills School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0170511,Greene-Hills School,G,2015-16,3.0,100.7,0.0297914597815
Bristol School District,Greene-Hills School,General Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0170511,Greene-Hills School,G,2015-16,53.8,100.7,0.534260178749
Bristol School District,Greene-Hills School,Library/Media - Support Staff,Non-Certified,0170011,Bristol School District,0170011,0170511,Greene-Hills School,G,2015-16,1.0,100.7,0.00993048659384
Bristol School District,Greene-Hills School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0170011,Bristol School District,0170011,0170511,Greene-Hills School,G,2015-16,18.0,100.7,0.178748758689
Bristol School District,Greene-Hills School,School Nurses,Non-Certified,0170011,Bristol School District,0170011,0170511,Greene-Hills School,G,2015-16,1.0,100.7,0.00993048659384
Bristol School District,Greene-Hills School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0170511,Greene-Hills School,G,2015-16,7.0,100.7,0.0695134061569
Bristol School District,Greene-Hills School,Special Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0170511,Greene-Hills School,G,2015-16,7.0,100.7,0.0695134061569
Bristol School District,Greene-Hills School,Instructional Specialists Who Support Teachers,Certified,0170011,Bristol School District,0170011,0170511,Greene-Hills School,G,2015-16,3.2,100.7,0.0317775571003
Bristol School District,Greene-Hills School,Library/Media - Specialists (Certified),Certified,0170011,Bristol School District,0170011,0170511,Greene-Hills School,G,2015-16,1.0,100.7,0.00993048659384
Bristol School District,Ivy Drive School,Administrators  Coordinators and Department Chairs - School Level,Certified,0170011,Bristol School District,0170011,0171911,Ivy Drive School,G,2015-16,1.0,41.7,0.0239808153477
Bristol School District,Ivy Drive School,Counselors  Social Workers  and School Psychologists,Certified,0170011,Bristol School District,0170011,0171911,Ivy Drive School,G,2015-16,1.0,41.7,0.0239808153477
Bristol School District,Ivy Drive School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0171911,Ivy Drive School,G,2015-16,2.0,41.7,0.0479616306954
Bristol School District,Ivy Drive School,General Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0171911,Ivy Drive School,G,2015-16,21.5,41.7,0.515587529976
Bristol School District,Ivy Drive School,Library/Media - Support Staff,Non-Certified,0170011,Bristol School District,0170011,0171911,Ivy Drive School,G,2015-16,1.0,41.7,0.0239808153477
Bristol School District,Ivy Drive School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0170011,Bristol School District,0170011,0171911,Ivy Drive School,G,2015-16,7.4,41.7,0.177458033573
Bristol School District,Ivy Drive School,School Nurses,Non-Certified,0170011,Bristol School District,0170011,0171911,Ivy Drive School,G,2015-16,1.0,41.7,0.0239808153477
Bristol School District,Ivy Drive School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0170011,Bristol School District,0170011,0171911,Ivy Drive School,G,2015-16,0.0,41.7,0.0
Bristol School District,Ivy Drive School,Special Education - Teachers and Instructors,Certified,0170011,Bristol School District,0170011,0171911,Ivy Drive School,G,2015-16,4.0,41.7,0.0959232613909
Bristol School District,Ivy Drive School,Instructional Specialists Who Support Teachers,Certified,0170011,Bristol School District,0170011,0171911,Ivy Drive School,G,2015-16,1.8,41.7,0.0431654676259
Bristol School District,Ivy Drive School,Library/Media - Specialists (Certified),Certified,0170011,Bristol School District,0170011,0171911,Ivy Drive School,G,2015-16,1.0,41.7,0.0239808153477
