2009_10_entrance_pct,2009_10_persistence_pct,2010_11_entrance_pct,2010_11_persistence_pct,2011_12_entrance_pct,2011_12_persistence_pct,2012_13_entrance_pct,2012_13_persistence_pct,2013_14_entrance_pct,2013_14_persistence_pct,district,district_code,drg,four_y_percent,group,race_ethnicity,school,school_code
,*,35.3,*,,*,56.7,*,54.5,*,Waterbury School District,1510011,I,54.5,race,White,Wilby High School,1516311
77.1,85.5,78.0,82.5,74.9,86.4,71.2,87.0,81.0,92.4,Waterford School District,1520011,D,77.1,race,White,Waterford High School,1526111
72.1,90.3,74.9,87.6,74.8,90.1,81.7,91.0,76.7,93.1,Watertown School District,1530011,D,74.9,race,White,Watertown High School,1536111
74.2,93.9,80.6,92.6,79.2,91.2,,*,80.3,83.0,Westbrook School District,1540011,E,79.75,race,White,Westbrook High School,1546111
86.0,100.0,87.1,92.6,77.1,88.9,95.1,97.4,97.7,90.5,West Hartford School District,1550011,B,87.1,race,Asian,Conard High School,1556111
,*,86.2,76.0,61.3,*,84.1,86.5,,*,West Hartford School District,1550011,B,84.1,race,Black or African American,Conard High School,1556111
63.0,82.4,71.9,89.1,69.6,89.6,60.3,92.7,78.0,80.4,West Hartford School District,1550011,B,69.6,race,Hispanic or Latino,Conard High School,1556111
91.7,94.5,85.3,95.1,88.8,94.0,90.9,94.5,85.4,93.2,West Hartford School District,1550011,B,88.8,race,White,Conard High School,1556111
90.9,93.3,76.0,*,95.3,95.1,89.2,100.0,94.7,94.4,West Hartford School District,1550011,B,90.9,race,Asian,Hall High School,1556211
84.4,89.5,84.2,90.6,80.6,89.7,82.2,86.5,85.0,88.2,West Hartford School District,1550011,B,84.2,race,Black or African American,Hall High School,1556211
55.3,85.7,72.5,75.7,66.7,81.6,78.4,92.5,68.1,78.1,West Hartford School District,1550011,B,68.1,race,Hispanic or Latino,Hall High School,1556211
88.7,95.5,84.8,94.9,80.3,94.4,88.0,92.7,86.0,95.6,West Hartford School District,1550011,B,86.0,race,White,Hall High School,1556211
73.4,82.5,67.9,80.0,71.0,81.6,65.5,73.7,68.7,87.7,West Haven School District,1560011,H,68.7,race,Black or African American,West Haven High School,1566111
66.2,58.1,60.3,91.4,56.9,70.7,63.2,77.1,56.7,82.4,West Haven School District,1560011,H,60.3,race,Hispanic or Latino,West Haven High School,1566111
