district,progress,proficient,academic_target_met,all_three_met,dist_code,check_dist_col,district_code,school_code,year,drg
CREC Consortium School District,Bolton School District,,,,,,,,2012-13,
CREC Consortium School District,East Granby School District,,,,,,,,2012-13,
CREC Consortium School District,East Windsor School District,,,,,,,,2012-13,
CREC Consortium School District,Ellington School District,,,,,,,,2012-13,
CREC Consortium School District,Farmington School District,,,,,,,,2012-13,
CREC Consortium School District,Granby School District ,,,,,,,,2012-13,
CREC Consortium School District,Killingly School District,,,,,,,,2012-13,
CREC Consortium School District,Portland School District,,,,,,,,2012-13,
CREC Consortium School District,Simsbury School District,,,,,,,,2012-13,
CREC Consortium School District,Somers School District,,,,,,,,2012-13,
CREC Consortium School District,Regional School District 10,,,,,,,,2012-13,
CREC Consortium School District,Capitol Region Education Council (District),,,,,,,,2012-13,
EASTCONN Consortium School District,Andover School District,,,,,,,,2012-13,
EASTCONN Consortium School District,Ashford School District,,,,,,,,2012-13,
EASTCONN Consortium School District,Colchester School District,,,,,,,,2012-13,
EASTCONN Consortium School District,Griswold School District,,,,,,,,2012-13,
EASTCONN Consortium School District,Lisbon School District ,,,,,,,,2012-13,
EASTCONN Consortium School District,Mansfield School District,,,,,,,,2012-13,
EASTCONN Consortium School District,Plainfield School District,,,,,,,,2012-13,
EASTCONN Consortium School District,Pomfret School District  ,,,,,,,,2012-13,
EASTCONN Consortium School District,Sprague School District,,,,,,,,2012-13,
EASTCONN Consortium School District,Stafford School District ,,,,,,,,2012-13,
EASTCONN Consortium School District,Tolland School District ,,,,,,,,2012-13,
EASTCONN Consortium School District,Woodstock School District  ,,,,,,,,2012-13,
EASTCONN Consortium School District,Regional School District 19,,,,,,,,2012-13,
EDCONNECTION Consortium School District,Brookfield School District,,,,,,,,2012-13,
EDCONNECTION Consortium School District,New Fairfield School District ,,,,,,,,2012-13,
EDCONNECTION Consortium School District,Newtown School District,,,,,,,,2012-13,
EDCONNECTION Consortium School District,Plymouth School District,,,,,,,,2012-13,
EDCONNECTION Consortium School District,Redding School District ,,,,,,,,2012-13,
EDCONNECTION Consortium School District,Thomaston School District,,,,,,,,2012-13,
EDCONNECTION Consortium School District,Winchester School District,,,,,,,,2012-13,
EDCONNECTION Consortium School District,Regional School District 06,,,,,,,,2012-13,
EDCONNECTION Consortium School District,Regional School District 14,,,,,,,,2012-13,
EDCONNECTION Consortium School District,Regional School District 15,,,,,,,,2012-13,
LEARN Consortium School District,Chester School District,,,,,,,,2012-13,
LEARN Consortium School District,Clinton School District ,,,,,,,,2012-13,
LEARN Consortium School District,Deep River School District,,,,,,,,2012-13,
LEARN Consortium School District,East Hampton School District,,,,,,,,2012-13,
LEARN Consortium School District,East Lyme School District,,,,,,,,2012-13,
LEARN Consortium School District,Essex School District,,,,,,,,2012-13,
LEARN Consortium School District,Ledyard School District,,,,,,,,2012-13,
LEARN Consortium School District,Old Saybrook School District ,,,,,,,,2012-13,
LEARN Consortium School District,Waterford School District,,,,,,,,2012-13,
LEARN Consortium School District,Westbrook School District,,,,,,,,2012-13,
LEARN Consortium School District,Regional School District 04,,,,,,,,2012-13,
LEARN Consortium School District,Learn (District),,,,,,,,2012-13,
LEARN Consortium School District,Integrated Day Charter School District,,,,,,,,2012-13,
LEARN Consortium School District,Interdistrict School for Arts and Comm District        ,,,,,,,,2012-13,
Bethel School District,0.777385,0.654362,No,No,0090011,Bethel School District,0090011,0090011,2013-14,D
Bridgeport School District,0.48316,0.23183,No,No,0150011,Bridgeport School District,0150011,0150011,2013-14,I
Bristol School District,0.652601,0.379347,No,No,0170011,Bristol School District,0170011,0170011,2013-14,G
Cheshire School District,0.693069,0.470085,LEA with No Targets,No,0250011,Cheshire School District,0250011,0250011,2013-14,B
Connecticut Technical High School System School District,0.588235,0.531798,Yes,No,,,,,2013-14,
Danbury School District,0.789474,0.415309,No,No,0340011,Danbury School District,0340011,0340011,2013-14,H
Derby School District,0.758017,0.796915,No,No,0370011,Derby School District,0370011,0370011,2013-14,H
East Hartford School District,0.889152,0.612416,No,No,0430011,East Hartford School District,0430011,0430011,2013-14,H
East Haven School District,0.592357,0.335664,No,No,0440011,East Haven School District,0440011,0440011,2013-14,G
Enfield School District,0.863787,0.61194,Yes,Yes,0490011,Enfield School District,0490011,0490011,2013-14,F
Fairfield School District,0.697842,0.57971,No,No,0510011,Fairfield School District,0510011,0510011,2013-14,B
Glastonbury School District,0.792079,0.642023,Yes,No,0540011,Glastonbury School District,0540011,0540011,2013-14,B
Greenwich School District,0.793908,0.697875,No,No,0570011,Greenwich School District,0570011,0570011,2013-14,B
Groton School District,0.588235,0.262346,No,No,0590011,Groton School District,0590011,0590011,2013-14,G
Hamden School District,0.709877,0.504202,Yes,No,0620011,Hamden School District,0620011,0620011,2013-14,G
Hartford School District,0.48138,0.21544,No,No,0640011,Hartford School District,0640011,0640011,2013-14,I
Manchester School District,0.802469,0.607477,No,No,0770011,Manchester School District,0770011,0770011,2013-14,G
Meriden School District,0.654078,0.346821,No,No,0800011,Meriden School District,0800011,0800011,2013-14,H
Middletown School District,0.657016,0.343249,Yes,No,0830011,Middletown School District,0830011,0830011,2013-14,G
Milford School District,0.80402,0.578313,Yes,Yes,0840011,Milford School District,0840011,0840011,2013-14,D
Montville School District,0.842294,0.599315,No,No,0860011,Montville School District,0860011,0860011,2013-14,F
Naugatuck School District,0.622867,0.381282,No,No,0880011,Naugatuck School District,0880011,0880011,2013-14,G
New Britain School District,0.491001,0.257067,No,No,0890011,New Britain School District,0890011,0890011,2013-14,I
New Haven School District,0.682027,0.259782,No,No,0930011,New Haven School District,0930011,0930011,2013-14,I
New London School District,0.673012,0.380328,No,No,0950011,New London School District,0950011,0950011,2013-14,I
New Milford School District,0.685279,0.581683,No,No,0960011,New Milford School District,0960011,0960011,2013-14,D
Newington School District,0.834915,0.622642,Yes,Yes,0940011,Newington School District,0940011,0940011,2013-14,D
Norwalk School District,0.597643,0.389874,No,No,1030011,Norwalk School District,1030011,1030011,2013-14,H
Norwich School District,0.606547,0.272602,No,No,1040011,Norwich School District,1040011,1040011,2013-14,H
Plainville School District,0.692841,0.546875,Yes,No,1100011,Plainville School District,1100011,1100011,2013-14,F
Rocky Hill School District,0.769231,0.673854,No,No,1190011,Rocky Hill School District,1190011,1190011,2013-14,D
Shelton School District,0.847328,0.687679,Yes,Yes,1260011,Shelton School District,1260011,1260011,2013-14,D
South Windsor School District,0.782748,0.608108,No,No,1320011,South Windsor School District,1320011,1320011,2013-14,B
Southington School District,0.892857,0.840909,Yes,Yes,1310011,Southington School District,1310011,1310011,2013-14,D
Stamford School District,0.59284,0.317272,No,No,1350011,Stamford School District,1350011,1350011,2013-14,H
Stratford School District,0.70841,0.5547,Yes,No,1380011,Stratford School District,1380011,1380011,2013-14,G
Torrington School District,0.698276,0.281562,No,No,1430011,Torrington School District,1430011,1430011,2013-14,G
Trumbull School District,0.835616,0.785877,Yes,Yes,1440011,Trumbull School District,1440011,1440011,2013-14,B
Wallingford School District,0.641153,0.420998,No,No,1480011,Wallingford School District,1480011,1480011,2013-14,D
Waterbury School District,0.594106,0.313609,No,No,1510011,Waterbury School District,1510011,1510011,2013-14,I
Watertown School District,0.670732,0.389908,Yes,No,1530011,Watertown School District,1530011,1530011,2013-14,D
West Hartford School District,0.729699,0.488977,No,No,1550011,West Hartford School District,1550011,1550011,2013-14,B
West Haven School District,0.634065,0.330168,No,No,1560011,West Haven School District,1560011,1560011,2013-14,H
Wethersfield School District,0.58319,0.389831,No,No,1590011,Wethersfield School District,1590011,1590011,2013-14,D
Windham School District,0.580211,0.261941,No,No,1630011,Windham School District,1630011,1630011,2013-14,I
Windsor School District,0.509642,0.339943,No,No,1640011,Windsor School District,1640011,1640011,2013-14,D
ACES Consortium School District,0.719274,0.597754,No,No,,,,,2013-14,
Berlin-Cromwell Consortium School District,0.757576,0.509138,No,No,,,,,2013-14,
Branford-Guilford Consortium School District,0.788889,0.455556,No,No,,,,,2013-14,
CES Consortium School District,0.725995,0.685558,No,No,,,,,2013-14,
CREC Consortium School District,0.72184,0.558912,No,No,,,,,2013-14,
EASTCONN Consortium School District,0.780347,0.59292,No,No,,,,,2013-14,
EDCONNECTION Consortium School District,0.764895,0.532847,No,No,,,,,2013-14,
LEARN Consortium School District,0.654058,0.534569,Yes,No,,,,,2013-14,
New Canaan-Westport Consortium School District,0.805369,0.748031,No,No,,,,,2013-14,
Windsor Locks-Avon Consortium School District,0.783699,0.584958,Yes,No,,,,,2013-14,
Connecticut School District,0.857742,0.58728,No,No,,,,,2013-14,
"1The English Language Proficiency (ELP) assessment for SY 2012-13 transitioned to was LAS Links Form C, a more rigorous exam that included more challenging academic language than the LAS Links Forms A and B which were used for the ELP in the prior school years. School District",,,,,,,,,2013-14,
"2AMAO 3 Targets: EL subgroup met individualized Annual Measurable Objective (AMO) Targets and 95 percent participation rate on the CMT and CAPTassessments for English and Math in LEAs administering these assessments. For LEAs that participated in the Smarter Balanced pilot, the Academic targets were that the EL subgroup met the 95 percent participation goals on ELA and Math portions of the Smarter Balanced assessment. School District",,,,,,,,,2013-14,
nan School District,,,,,,,,,2013-14,
RESC Consortia Membership School District,,,,,,,,,2013-14,
ACES Consortium School District,Ansonia School District,,,,,,,,2013-14,
ACES Consortium School District,Area Cooperative Educational Services (District)              ,,,,,,,,2013-14,
ACES Consortium School District,North Haven School District                            ,,,,,,,,2013-14,
ACES Consortium School District,Orange School District                                 ,,,,,,,,2013-14,
ACES Consortium School District,Oxford School District                                 ,,,,,,,,2013-14,
ACES Consortium School District,Seymour School District,,,,,,,,2013-14,
ACES Consortium School District,Wolcott School District                                ,,,,,,,,2013-14,
ACES Consortium School District,Woodbridge School District                             ,,,,,,,,2013-14,
ACES Consortium School District,Regional School District 13                            ,,,,,,,,2013-14,
ACES Consortium School District,Regional School District 16                            ,,,,,,,,2013-14,
CES Consortium School District,Darien School District,,,,,,,,2013-14,
CES Consortium School District,Easton School District,,,,,,,,2013-14,
CES Consortium School District,Monroe School District,,,,,,,,2013-14,
CES Consortium School District,Ridgefield School District,,,,,,,,2013-14,
CES Consortium School District,Weston School District,,,,,,,,2013-14,
CES Consortium School District,Wilton School District,,,,,,,,2013-14,
CES Consortium School District,Regional School District 09,,,,,,,,2013-14,
CES Consortium School District,Side By Side Charter School District                   ,,,,,,,,2013-14,
CREC Consortium School District,Bloomfield School District,,,,,,,,2013-14,
CREC Consortium School District,Bolton School District,,,,,,,,2013-14,
CREC Consortium School District,East Granby School District,,,,,,,,2013-14,
CREC Consortium School District,East Windsor School District,,,,,,,,2013-14,
CREC Consortium School District,Ellington School District,,,,,,,,2013-14,
CREC Consortium School District,Farmington School District,,,,,,,,2013-14,
CREC Consortium School District,Granby School District ,,,,,,,,2013-14,
CREC Consortium School District,Killingly School District,,,,,,,,2013-14,
CREC Consortium School District,New Hartford School District,,,,,,,,2013-14,
CREC Consortium School District,Portland School District,,,,,,,,2013-14,
CREC Consortium School District,Regional School District 10,,,,,,,,2013-14,
CREC Consortium School District,Simsbury School District,,,,,,,,2013-14,
CREC Consortium School District,Somers School District,,,,,,,,2013-14,
CREC Consortium School District,Vernon School District,,,,,,,,2013-14,
CREC Consortium School District,Capitol Region Education Council (District),,,,,,,,2013-14,
EASTCONN Consortium School District,Andover School District,,,,,,,,2013-14,
EASTCONN Consortium School District,Ashford School District,,,,,,,,2013-14,
EASTCONN Consortium School District,Bozrah School District,,,,,,,,2013-14,
EASTCONN Consortium School District,Colchester School District,,,,,,,,2013-14,
EASTCONN Consortium School District,Griswold School District,,,,,,,,2013-14,
EASTCONN Consortium School District,Lisbon School District ,,,,,,,,2013-14,
EASTCONN Consortium School District,Mansfield School District,,,,,,,,2013-14,
EASTCONN Consortium School District,Plainfield School District,,,,,,,,2013-14,
EASTCONN Consortium School District,Pomfret School District  ,,,,,,,,2013-14,
EASTCONN Consortium School District,Sprague School District,,,,,,,,2013-14,
EASTCONN Consortium School District,Stafford School District ,,,,,,,,2013-14,
EASTCONN Consortium School District,Tolland School District ,,,,,,,,2013-14,
EASTCONN Consortium School District,Woodstock School District  ,,,,,,,,2013-14,
EASTCONN Consortium School District,Regional School District 19,,,,,,,,2013-14,
EASTCONN Consortium School District,EASTCONN (District),,,,,,,,2013-14,
EDCONNECTION Consortium School District,Brookfield School District,,,,,,,,2013-14,
EDCONNECTION Consortium School District,New Fairfield School District ,,,,,,,,2013-14,
EDCONNECTION Consortium School District,Newtown School District,,,,,,,,2013-14,
EDCONNECTION Consortium School District,Plymouth School District,,,,,,,,2013-14,
EDCONNECTION Consortium School District,Redding School District ,,,,,,,,2013-14,
EDCONNECTION Consortium School District,Winchester School District,,,,,,,,2013-14,
EDCONNECTION Consortium School District,Regional School District 06,,,,,,,,2013-14,
EDCONNECTION Consortium School District,Regional School District 14,,,,,,,,2013-14,
EDCONNECTION Consortium School District,Regional School District 15,,,,,,,,2013-14,
LEARN Consortium School District,Clinton School District ,,,,,,,,2013-14,
LEARN Consortium School District,Deep River School District,,,,,,,,2013-14,
LEARN Consortium School District,East Hampton School District,,,,,,,,2013-14,
LEARN Consortium School District,East Lyme School District,,,,,,,,2013-14,
LEARN Consortium School District,Essex School District,,,,,,,,2013-14,
LEARN Consortium School District,Integrated Day Charter School District,,,,,,,,2013-14,
LEARN Consortium School District,Interdistrict School for Arts and Comm District        ,,,,,,,,2013-14,
LEARN Consortium School District,Ledyard School District,,,,,,,,2013-14,
LEARN Consortium School District,Old Saybrook School District ,,,,,,,,2013-14,
LEARN Consortium School District,Waterford School District,,,,,,,,2013-14,
LEARN Consortium School District,Westbrook School District,,,,,,,,2013-14,
LEARN Consortium School District,Regional School District 04,,,,,,,,2013-14,
LEARN Consortium School District,Learn (District),,,,,,,,2013-14,
