district_code,district,school_code,school,grade,diff,drg,year
1480011,Wallingford School District,0000000,District,79.6979461788,-3.60858408476,D,2014-15
9020022,The Gilbert School District,0000000,District,66.501787021,2.22391659929,G,2015-16
1340011,Stafford School District,0000000,District,74.533839797,-2.03976806434,F,2015-16
1190011,Rocky Hill School District,0000000,District,79.2714767953,-4.8908690469,D,2015-16
1510011,Waterbury School District,0000000,District,60.0036896034,-2.15969802899,I,2014-15
2880013,Achievement First Hartford Academy Inc. District,0000000,District,71.5967295384,1.43224245563,,2015-16
1410011,Thompson School District,0000000,District,70.6855664772,-2.66207864164,F,2014-15
0330011,Cromwell School District,0000000,District,80.4160303145,-3.39723317925,D,2015-16
2530014,Eastern Connecticut Regional Educational Service Center (EASTCONN),0000000,District,54.3591833982,-3.399413001,,2014-15
2610013,Jumoke Academy District,0000000,District,69.4682930364,-6.49442475455,,2014-15
1640011,Windsor School District,0000000,District,71.4326057119,-3.83257110597,D,2015-16
0620011,Hamden School District,0000000,District,70.2372207186,-3.94917454463,G,2015-16
1540011,Westbrook School District,0000000,District,82.6241336395,-0.447254148711,E,2015-16
1550011,West Hartford School District,0000000,District,80.7487520181,-7.16210029928,B,2015-16
0170011,Bristol School District,0000000,District,72.8418840364,-4.12991089,G,2015-16
0600011,Guilford School District,0000000,District,85.7141272601,-4.71242223885,B,2015-16
1530011,Watertown School District,0000000,District,76.5976105102,-3.45367726927,D,2015-16
0590011,Groton School District,0000000,District,73.1921259011,-3.72793324413,G,2015-16
1620011,Winchester School District,0000000,District,66.4365527119,-5.05757253562,G,2015-16
0180011,Brookfield School District,0000000,District,83.3987787319,-3.10672864403,B,2015-16
0580011,Griswold School District,0000000,District,76.2697881585,-2.14410737035,F,2015-16
0570011,Greenwich School District,0000000,District,86.5939305315,-2.70666465965,B,2015-16
0560011,Granby School District,0000000,District,85.1694399521,-4.0954757417,B,2015-16
0190011,Brooklyn School District,0000000,District,70.2257385033,-9.29218497592,E,2015-16
1630011,Windham School District,0000000,District,67.6266578444,0.624468358307,I,2015-16
1610011,Wilton School District,0000000,District,85.5018303615,-4.29660174462,A,2015-16
0630011,Hampton School District,0000000,District,81.442105465,-9.337010206,E,2015-16
1520011,Waterford School District,0000000,District,78.2281490873,-5.80375560288,D,2015-16
0720011,Ledyard School District,0000000,District,76.3482590365,-8.87771561628,D,2015-16
0710011,Lebanon School District,0000000,District,77.242899425,-1.52268376013,E,2015-16
0130011,Bozrah School District,0000000,District,75.5696204742,-7.81099234356,E,2015-16
0140011,Branford School District,0000000,District,76.7625382633,-5.52939099494,D,2015-16
0690011,Killingly School District,0000000,District,71.0997851279,0.395104948178,G,2015-16
0150011,Bridgeport School District,0000000,District,56.3799877647,-2.87697189858,I,2015-16
0640011,Hartford School District,0000000,District,59.9375223825,-1.07769425106,I,2015-16
1670011,Woodbridge School District,0000000,District,88.8920049618,3.28640168287,B,2015-16
0670011,Hebron School District,0000000,District,79.3726019769,-6.42019594356,C,2015-16
1660011,Wolcott School District,0000000,District,79.4449101642,-3.99392235827,F,2015-16
0650011,Hartland School District,0000000,District,82.57515263,-3.17987689301,E,2015-16
1650011,Windsor Locks School District,0000000,District,74.0759898449,0.50076594029,F,2015-16
1480011,Wallingford School District,0000000,District,76.089362094,-3.60858408476,D,2015-16
1510011,Waterbury School District,0000000,District,57.8439915744,-2.15969802899,I,2015-16
0680011,Kent School District,0000000,District,73.3860472822,-15.3339255129,E,2015-16
0540011,Glastonbury School District,0000000,District,83.5573163438,-5.4128255876,B,2015-16
0210011,Canaan School District,0000000,District,69.8722037953,-17.0334570747,E,2015-16
0220011,Canterbury School District,0000000,District,75.084609117,-8.44295975107,F,2015-16
0440011,East Haven School District,0000000,District,64.2135705186,-6.85429458947,G,2015-16
0430011,East Hartford School District,0000000,District,64.8957108974,0.593257148127,H,2015-16
1590011,Wethersfield School District,0000000,District,81.7410351482,-1.13056625953,D,2015-16
0420011,East Hampton School District,0000000,District,74.7297014829,-7.41126851636,D,2015-16
