american_indian,american_indian_or_alaska_native,asian,black_not_of_hispanic_origin,black_or_african_american,district,district_code,hispanic_latino,hispanic_latino_of_any_race,native_hawaiian_or_other_pacific_islander,not_reported,school,school_code,total,two_or_more_races,white,white_not_of_hispanic_origin,year,tot_check,hispanic,other,black,oth_total,oth_tot_check
0.0,0.0,0.0,0.0,0.0,Bridgeport School District,0150011,26.0,0.0,0.0,0.0,Bridgeport Learning Center,0159011,54,0.0,0.0,0.0,2007-08,28.0,26.0,0.0,0.0,28.0,0.0
0.0,0.0,28.0,162.0,0.0,Bridgeport School District,0150011,175.0,0.0,0.0,0.0,Bryant School,0150411,413,0.0,48.0,48.0,2007-08,0.0,175.0,0.0,162.0,0.0,0.0
0.0,0.0,0.0,1094.0,0.0,Bridgeport School District,0150011,838.0,0.0,0.0,0.0,Central High School,0156211,2339,0.0,306.0,306.0,2007-08,101.0,838.0,0.0,1094.0,101.0,0.0
0.0,0.0,35.0,354.0,0.0,Bridgeport School District,0150011,728.0,0.0,0.0,0.0,Cesar Batalla School,0151411,1162,0.0,45.0,45.0,2007-08,0.0,728.0,0.0,354.0,0.0,0.0
0.0,0.0,0.0,223.0,0.0,Bridgeport School District,0150011,105.0,0.0,0.0,0.0,Classical Studies Academy,0152111,375,0.0,29.0,29.0,2007-08,18.0,105.0,0.0,223.0,18.0,0.0
0.0,0.0,13.0,210.0,0.0,Bridgeport School District,0150011,433.0,0.0,0.0,0.0,Columbus School,0150511,763,0.0,107.0,107.0,2007-08,0.0,433.0,0.0,210.0,0.0,0.0
0.0,0.0,10.0,264.0,0.0,Bridgeport School District,0150011,124.0,0.0,0.0,0.0,Cross School,0153911,406,0.0,8.0,8.0,2007-08,0.0,124.0,0.0,264.0,0.0,0.0
0.0,0.0,38.0,284.0,0.0,Bridgeport School District,0150011,246.0,0.0,0.0,0.0,Curiale School,0154211,592,0.0,24.0,24.0,2007-08,0.0,246.0,0.0,284.0,0.0,0.0
0.0,0.0,0.0,214.0,0.0,Bridgeport School District,0150011,139.0,0.0,0.0,0.0,Dunbar School,0154111,363,0.0,0.0,0.0,2007-08,10.0,139.0,0.0,214.0,10.0,0.0
0.0,0.0,0.0,205.0,0.0,Bridgeport School District,0150011,165.0,0.0,0.0,0.0,Edison School,0150711,408,0.0,28.0,28.0,2007-08,10.0,165.0,0.0,205.0,10.0,0.0
0.0,0.0,0.0,57.0,0.0,Bridgeport School District,0150011,204.0,0.0,0.0,0.0,Garfield School,0150911,278,0.0,11.0,11.0,2007-08,6.0,204.0,0.0,57.0,6.0,0.0
0.0,0.0,14.0,74.0,0.0,Bridgeport School District,0150011,92.0,0.0,0.0,0.0,Geraldine Johnson School,0153211,196,0.0,16.0,16.0,2007-08,0.0,92.0,0.0,74.0,0.0,0.0
0.0,0.0,0.0,179.0,0.0,Bridgeport School District,0150011,156.0,0.0,0.0,0.0,Hall School,0151111,344,0.0,0.0,0.0,2007-08,9.0,156.0,0.0,179.0,9.0,0.0
0.0,0.0,0.0,217.0,0.0,Bridgeport School District,0150011,89.0,0.0,0.0,0.0,Hallen School,0151211,322,0.0,0.0,0.0,2007-08,16.0,89.0,0.0,217.0,16.0,0.0
