school_code,district,school,language,ltss,eligible_for_bilingual,total_els,year
0620411,Hamden School District,Helen Street School,Spanish,0,22.0,22.0,2016-17
District Total,,,,0,55.0,55.0,2016-17
0640111,Hartford School District,SAND School,Spanish,20,84.0,104.0,2016-17
0640411,Hartford School District,Batchelder School,Spanish,11,105.0,116.0,2016-17
0640611,Hartford School District,Burns Latino Studies Academy,Spanish,59,141.0,200.0,2016-17
0640711,Hartford School District,Asian Studies Academy,Spanish,30,178.0,208.0,2016-17
0640811,Hartford School District,M. D. Fox Elementary School,Spanish,26,150.0,176.0,2016-17
0640811,Hartford School District,M. D. Fox Elementary School,Karen,1,23.0,24.0,2016-17
0640911,Hartford School District,Environmental Sciences Magnet School at Mary M Hooker,Spanish,8,22.0,30.0,2016-17
0641011,Hartford School District,Kennelly School,Spanish,41,119.0,160.0,2016-17
0641111,Hartford School District,R.J. Kinsella Magnet School of Performing Arts,Spanish,15,37.0,52.0,2016-17
0641211,Hartford School District,McDonough Expeditionary Learning School,Spanish,19,52.0,71.0,2016-17
0641411,Hartford School District,Dr. James H Naylor/CCSU Leadership Academy,Spanish,14,114.0,128.0,2016-17
0641411,Hartford School District,Dr. James H Naylor/CCSU Leadership Academy,Serbo-Croatian,4,25.0,29.0,2016-17
0641511,Hartford School District,Parkville Community School,Spanish,18,131.0,149.0,2016-17
0641611,Hartford School District,M. L. King School,Spanish,2,25.0,27.0,2016-17
0641711,Hartford School District,Sarah J. Rawson Elementary School,Spanish,1,22.0,23.0,2016-17
0641911,Hartford School District,Milner Elementary School,Spanish,22,44.0,66.0,2016-17
0642111,Hartford School District,West Middle School,Spanish,14,54.0,68.0,2016-17
0642211,Hartford School District,Fred D. Wish Museum School,Spanish,12,40.0,52.0,2016-17
0642311,Hartford School District,Burr School,Spanish,21,125.0,146.0,2016-17
0642411,Hartford School District,Clark School,Spanish,8,57.0,65.0,2016-17
0642611,Hartford School District,Simpson-Waverly School,Spanish,7,40.0,47.0,2016-17
0642811,Hartford School District,Dr. Ramon E. Betances Early Reading Lab,Spanish,5,24.0,29.0,2016-17
0643011,Hartford School District,Sanchez School,Spanish,29,152.0,181.0,2016-17
0643211,Hartford School District,Expeditionary Learning Academy at Moylan School,Spanish,5,91.0,96.0,2016-17
0643311,Hartford School District,Breakthrough Magnet School,Spanish,3,27.0,30.0,2016-17
0643611,Hartford School District,Global Communications Academy,Spanish,15,45.0,60.0,2016-17
0645411,Hartford School District,Hartford Magnet Trinity College Academy,Spanish,31,28.0,59.0,2016-17
0646011,Hartford School District,Culinary Arts Academy,Spanish,26,26.0,52.0,2016-17
0646111,Hartford School District,Bulkeley High School Lower School,Spanish,39,83.0,122.0,2016-17
